"treatment","Trait","groups","combi","trait","BBCH","Year"
"Early_Patras",84.835,"a","timeid:var","Acc_Percipitation","31
61",2019
"Early_Capone",84.72,"a","timeid:var","Acc_Percipitation","31
61",2019
"Early_Pionier",82.755,"a","timeid:var","Acc_Percipitation","31
61",2019
"Early_Apertus",81.135,"a","timeid:var","Acc_Percipitation","31
61",2019
"Late_Patras",79.86,"a","timeid:var","Acc_Percipitation","31
61",2019
"Late_Apertus",68.625,"b","timeid:var","Acc_Percipitation","31
61",2019
"Late_Pionier",68.51,"b","timeid:var","Acc_Percipitation","31
61",2019
"Late_Capone",67.12,"b","timeid:var","Acc_Percipitation","31
61",2019
"Combined_Early_Pionier",325.33,"a","appl:timeid:var","Acc_Percipitation","77",2019
"Split_Early_Patras",325.33,"a","appl:timeid:var","Acc_Percipitation","77",2019
"Combined_Early_Capone",325.315,"a","appl:timeid:var","Acc_Percipitation","77",2019
"Split_Early_Capone",325.315,"a","appl:timeid:var","Acc_Percipitation","77",2019
"Split_Early_Pionier",325.3,"a","appl:timeid:var","Acc_Percipitation","77",2019
"Combined_Early_Apertus",325.285,"a","appl:timeid:var","Acc_Percipitation","77",2019
"Combined_Early_Patras",325.27,"a","appl:timeid:var","Acc_Percipitation","77",2019
"Split_Early_Apertus",325.27,"a","appl:timeid:var","Acc_Percipitation","77",2019
"Split_Late_Pionier",320.115,"b","appl:timeid:var","Acc_Percipitation","77",2019
"Combined_Late_Capone",320.1,"bc","appl:timeid:var","Acc_Percipitation","77",2019
"Split_Late_Apertus",320.045,"cd","appl:timeid:var","Acc_Percipitation","77",2019
"Split_Late_Capone",320.045,"cd","appl:timeid:var","Acc_Percipitation","77",2019
"Combined_Late_Pionier",320.03,"d","appl:timeid:var","Acc_Percipitation","77",2019
"Split_Late_Patras",320.03,"d","appl:timeid:var","Acc_Percipitation","77",2019
"Combined_Late_Apertus",320.015,"d","appl:timeid:var","Acc_Percipitation","77",2019
"Combined_Late_Patras",320.015,"d","appl:timeid:var","Acc_Percipitation","77",2019
"Combined_Early_Patras",30.49,"a","appl:timeid:var","Acc_Percipitation","77
87",2019
"Split_Early_Apertus",30.49,"a","appl:timeid:var","Acc_Percipitation","77
87",2019
"Combined_Early_Apertus",30.475,"a","appl:timeid:var","Acc_Percipitation","77
87",2019
"Combined_Late_Apertus",30.475,"a","appl:timeid:var","Acc_Percipitation","77
87",2019
"Combined_Late_Patras",30.475,"a","appl:timeid:var","Acc_Percipitation","77
87",2019
"Combined_Late_Pionier",30.46,"a","appl:timeid:var","Acc_Percipitation","77
87",2019
"Split_Early_Pionier",30.46,"a","appl:timeid:var","Acc_Percipitation","77
87",2019
"Split_Late_Patras",30.46,"a","appl:timeid:var","Acc_Percipitation","77
87",2019
"Combined_Early_Capone",30.445,"ab","appl:timeid:var","Acc_Percipitation","77
87",2019
"Split_Early_Capone",30.445,"ab","appl:timeid:var","Acc_Percipitation","77
87",2019
"Split_Late_Apertus",30.445,"ab","appl:timeid:var","Acc_Percipitation","77
87",2019
"Split_Late_Capone",30.445,"ab","appl:timeid:var","Acc_Percipitation","77
87",2019
"Combined_Early_Pionier",30.43,"abc","appl:timeid:var","Acc_Percipitation","77
87",2019
"Split_Early_Patras",30.43,"abc","appl:timeid:var","Acc_Percipitation","77
87",2019
"Combined_Late_Capone",30.39,"bc","appl:timeid:var","Acc_Percipitation","77
87",2019
"Split_Late_Pionier",30.375,"c","appl:timeid:var","Acc_Percipitation","77
87",2019
"Patras",17.0591666666667,"a","var","Acc_Percipitation","9",2019
"Pionier",14.755,"b","var","Acc_Percipitation","9",2019
"Apertus",13.955,"b","var","Acc_Percipitation","9",2019
"Capone",13.0054166666667,"b","var","Acc_Percipitation","9",2019
"Late_Patras",25.2183333333333,"a","timeid:var","Acc_Percipitation","9",2019
"Late_Pionier",21.91,"ab","timeid:var","Acc_Percipitation","9",2019
"Late_Apertus",20.5983333333333,"b","timeid:var","Acc_Percipitation","9",2019
"Late_Capone",18.9258333333333,"b","timeid:var","Acc_Percipitation","9",2019
"Early_Patras",8.9,"c","timeid:var","Acc_Percipitation","9",2019
"Early_Pionier",7.6,"c","timeid:var","Acc_Percipitation","9",2019
"Early_Apertus",7.31166666666667,"c","timeid:var","Acc_Percipitation","9",2019
"Early_Capone",7.085,"c","timeid:var","Acc_Percipitation","9",2019
"Patras",17.0591666666667,"a","var","Acc_Percipitation","sowing
09",2019
"Pionier",14.755,"b","var","Acc_Percipitation","sowing
09",2019
"Apertus",13.955,"b","var","Acc_Percipitation","sowing
09",2019
"Capone",13.0054166666667,"b","var","Acc_Percipitation","sowing
09",2019
"Late_Patras",25.2183333333333,"a","timeid:var","Acc_Percipitation","sowing
09",2019
"Late_Pionier",21.91,"ab","timeid:var","Acc_Percipitation","sowing
09",2019
"Late_Apertus",20.5983333333333,"b","timeid:var","Acc_Percipitation","sowing
09",2019
"Late_Capone",18.9258333333333,"b","timeid:var","Acc_Percipitation","sowing
09",2019
"Early_Patras",8.9,"c","timeid:var","Acc_Percipitation","sowing
09",2019
"Early_Pionier",7.6,"c","timeid:var","Acc_Percipitation","sowing
09",2019
"Early_Apertus",7.31166666666667,"c","timeid:var","Acc_Percipitation","sowing
09",2019
"Early_Capone",7.085,"c","timeid:var","Acc_Percipitation","sowing
09",2019
"Apertus",161.05647,"a","var","Acc_Radiation","09
13",2019
"Pionier",158.333805,"ab","var","Acc_Radiation","09
13",2019
"Patras",155.965695,"ab","var","Acc_Radiation","09
13",2019
"Capone",153.406125,"b","var","Acc_Radiation","09
13",2019
"Late_Apertus",207.22215,"a","timeid:var","Acc_Radiation","09
13",2019
"Late_Pionier",202.74483,"ab","timeid:var","Acc_Radiation","09
13",2019
"Late_Patras",201.46071,"ab","timeid:var","Acc_Radiation","09
13",2019
"Late_Capone",189.70074,"b","timeid:var","Acc_Radiation","09
13",2019
"Early_Capone",117.11151,"c","timeid:var","Acc_Radiation","09
13",2019
"Early_Apertus",114.89079,"c","timeid:var","Acc_Radiation","09
13",2019
"Early_Pionier",113.92278,"c","timeid:var","Acc_Radiation","09
13",2019
"Early_Patras",110.47068,"c","timeid:var","Acc_Radiation","09
13",2019
"Patras",233.436555,"a","var","Acc_Radiation","13",2019
"Apertus",232.77453,"a","var","Acc_Radiation","13",2019
"Pionier",231.927675,"a","var","Acc_Radiation","13",2019
"Capone",222.729855,"b","var","Acc_Radiation","13",2019
"Late_Patras",281.83059,"a","timeid:var","Acc_Radiation","13",2019
"Late_Apertus",280.50654,"a","timeid:var","Acc_Radiation","13",2019
"Late_Pionier",278.81283,"a","timeid:var","Acc_Radiation","13",2019
"Late_Capone",260.41719,"b","timeid:var","Acc_Radiation","13",2019
"Early_Apertus",185.04252,"c","timeid:var","Acc_Radiation","13",2019
"Early_Capone",185.04252,"c","timeid:var","Acc_Radiation","13",2019
"Early_Patras",185.04252,"c","timeid:var","Acc_Radiation","13",2019
"Early_Pionier",185.04252,"c","timeid:var","Acc_Radiation","13",2019
"Early_Patras",296.22447,"a","timeid:var","Acc_Radiation","13
23",2019
"Early_Apertus",290.17644,"a","timeid:var","Acc_Radiation","13
23",2019
"Early_Pionier",290.17644,"a","timeid:var","Acc_Radiation","13
23",2019
"Late_Capone",283.25373,"ab","timeid:var","Acc_Radiation","13
23",2019
"Early_Capone",280.37292,"ab","timeid:var","Acc_Radiation","13
23",2019
"Late_Pionier",264.85809,"bc","timeid:var","Acc_Radiation","13
23",2019
"Late_Patras",261.84033,"bc","timeid:var","Acc_Radiation","13
23",2019
"Late_Apertus",258.16056,"c","timeid:var","Acc_Radiation","13
23",2019
"Apertus",557.179395,"a","var","Acc_Radiation","23
31",2019
"Pionier",545.150625,"ab","var","Acc_Radiation","23
31",2019
"Capone",516.67386,"ab","var","Acc_Radiation","23
31",2019
"Patras",462.13032,"b","var","Acc_Radiation","23
31",2019
"Early_Apertus",591.67929,"a","timeid:var","Acc_Radiation","23
31",2019
"Early_Pionier",559.27416,"ab","timeid:var","Acc_Radiation","23
31",2019
"Late_Capone",536.7294,"abc","timeid:var","Acc_Radiation","23
31",2019
"Late_Pionier",531.02709,"abc","timeid:var","Acc_Radiation","23
31",2019
"Late_Apertus",522.6795,"abc","timeid:var","Acc_Radiation","23
31",2019
"Early_Capone",496.61832,"bc","timeid:var","Acc_Radiation","23
31",2019
"Early_Patras",465.55485,"c","timeid:var","Acc_Radiation","23
31",2019
"Late_Patras",458.70579,"c","timeid:var","Acc_Radiation","23
31",2019
"Late_Capone",1080.40032,"a","timeid:var","Acc_Radiation","31",2019
"Late_Pionier",1074.69801,"a","timeid:var","Acc_Radiation","31",2019
"Early_Apertus",1066.89825,"a","timeid:var","Acc_Radiation","31",2019
"Late_Apertus",1061.3466,"a","timeid:var","Acc_Radiation","31",2019
"Early_Pionier",1034.49312,"ab","timeid:var","Acc_Radiation","31",2019
"Late_Patras",1002.37671,"ab","timeid:var","Acc_Radiation","31",2019
"Early_Capone",962.03376,"b","timeid:var","Acc_Radiation","31",2019
"Early_Patras",946.82184,"b","timeid:var","Acc_Radiation","31",2019
"Early_Patras",678.33408,"a","timeid:var","Acc_Radiation","31
41",2019
"Early_Capone",663.12216,"a","timeid:var","Acc_Radiation","31
41",2019
"Early_Pionier",590.6628,"ab","timeid:var","Acc_Radiation","31
41",2019
"Late_Patras",565.90677,"bc","timeid:var","Acc_Radiation","31
41",2019
"Early_Apertus",558.25767,"bc","timeid:var","Acc_Radiation","31
41",2019
"Late_Apertus",506.93688,"bc","timeid:var","Acc_Radiation","31
41",2019
"Late_Pionier",493.58547,"c","timeid:var","Acc_Radiation","31
41",2019
"Late_Capone",487.88316,"c","timeid:var","Acc_Radiation","31
41",2019
"Early_Patras",1021.70064,"a","timeid:var","Acc_Radiation","31
61",2019
"Early_Capone",1006.48872,"a","timeid:var","Acc_Radiation","31
61",2019
"Early_Pionier",934.02936,"ab","timeid:var","Acc_Radiation","31
61",2019
"Late_Patras",909.27333,"bc","timeid:var","Acc_Radiation","31
61",2019
"Early_Apertus",901.62423,"bc","timeid:var","Acc_Radiation","31
61",2019
"Late_Apertus",850.30344,"bc","timeid:var","Acc_Radiation","31
61",2019
"Late_Pionier",836.95203,"c","timeid:var","Acc_Radiation","31
61",2019
"Late_Capone",831.24972,"c","timeid:var","Acc_Radiation","31
61",2019
"176_Capone",280.08456,"a","nitrogen:var","Acc_Radiation","71
77",2019
"176_Pionier",267.0369,"a","nitrogen:var","Acc_Radiation","71
77",2019
"220_Capone",264.62274,"a","nitrogen:var","Acc_Radiation","71
77",2019
"220_Patras",253.76748,"ab","nitrogen:var","Acc_Radiation","71
77",2019
"220_Apertus",252.5604,"ab","nitrogen:var","Acc_Radiation","71
77",2019
"220_Pionier",249.78366,"ab","nitrogen:var","Acc_Radiation","71
77",2019
"176_Patras",226.24332,"b","nitrogen:var","Acc_Radiation","71
77",2019
"176_Apertus",225.03624,"b","nitrogen:var","Acc_Radiation","71
77",2019
"176_Pionier",2312.34108,"a","nitrogen:var","Acc_Radiation","77",2019
"176_Capone",2301.48582,"a","nitrogen:var","Acc_Radiation","77",2019
"220_Capone",2293.99164,"ab","nitrogen:var","Acc_Radiation","77",2019
"220_Patras",2283.13638,"abc","nitrogen:var","Acc_Radiation","77",2019
"220_Pionier",2283.13638,"abc","nitrogen:var","Acc_Radiation","77",2019
"220_Apertus",2273.96166,"abc","nitrogen:var","Acc_Radiation","77",2019
"176_Patras",2255.61222,"bc","nitrogen:var","Acc_Radiation","77",2019
"176_Apertus",2246.4375,"c","nitrogen:var","Acc_Radiation","77",2019
"176_Apertus",526.7514,"a","nitrogen:var","Acc_Radiation","77
87",2019
"176_Patras",517.57668,"ab","nitrogen:var","Acc_Radiation","77
87",2019
"220_Apertus",499.22724,"abc","nitrogen:var","Acc_Radiation","77
87",2019
"220_Patras",490.05252,"abc","nitrogen:var","Acc_Radiation","77
87",2019
"220_Pionier",490.05252,"abc","nitrogen:var","Acc_Radiation","77
87",2019
"220_Capone",479.19726,"bc","nitrogen:var","Acc_Radiation","77
87",2019
"176_Capone",471.70308,"c","nitrogen:var","Acc_Radiation","77
87",2019
"176_Pionier",460.84782,"c","nitrogen:var","Acc_Radiation","77
87",2019
"Patras",77.47086,"a","var","Acc_Radiation","9",2019
"Pionier",73.59387,"b","var","Acc_Radiation","9",2019
"Apertus",71.71806,"bc","var","Acc_Radiation","9",2019
"Capone",69.32373,"c","var","Acc_Radiation","9",2019
"Late_Patras",80.36988,"a","timeid:var","Acc_Radiation","9",2019
"Late_Pionier",76.068,"b","timeid:var","Acc_Radiation","9",2019
"Early_Patras",74.57184,"bc","timeid:var","Acc_Radiation","9",2019
"Late_Apertus",73.28439,"cd","timeid:var","Acc_Radiation","9",2019
"Early_Pionier",71.11974,"de","timeid:var","Acc_Radiation","9",2019
"Late_Capone",70.71645,"e","timeid:var","Acc_Radiation","9",2019
"Early_Apertus",70.15173,"e","timeid:var","Acc_Radiation","9",2019
"Early_Capone",67.93101,"f","timeid:var","Acc_Radiation","9",2019
"Patras",77.47086,"a","var","Acc_Radiation","sowing
09",2019
"Pionier",73.59387,"b","var","Acc_Radiation","sowing
09",2019
"Apertus",71.71806,"bc","var","Acc_Radiation","sowing
09",2019
"Capone",69.32373,"c","var","Acc_Radiation","sowing
09",2019
"Late_Patras",80.36988,"a","timeid:var","Acc_Radiation","sowing
09",2019
"Late_Pionier",76.068,"b","timeid:var","Acc_Radiation","sowing
09",2019
"Early_Patras",74.57184,"bc","timeid:var","Acc_Radiation","sowing
09",2019
"Late_Apertus",73.28439,"cd","timeid:var","Acc_Radiation","sowing
09",2019
"Early_Pionier",71.11974,"de","timeid:var","Acc_Radiation","sowing
09",2019
"Late_Capone",70.71645,"e","timeid:var","Acc_Radiation","sowing
09",2019
"Early_Apertus",70.15173,"e","timeid:var","Acc_Radiation","sowing
09",2019
"Early_Capone",67.93101,"f","timeid:var","Acc_Radiation","sowing
09",2019
"176",373556054389570944,"a","nitrogen","Acc_TQ","13",2019
"220",373556054389570944,"a","nitrogen","Acc_TQ","13",2019
"Combined",373556054389570944,"a","appl","Acc_TQ","13",2019
"Split",373556054389570944,"a","appl","Acc_TQ","13",2019
"Apertus",373556054389570944,"a","var","Acc_TQ","13",2019
"Capone",373556054389570944,"a","var","Acc_TQ","13",2019
"Patras",373556054389570944,"a","var","Acc_TQ","13",2019
"Pionier",373556054389570944,"a","var","Acc_TQ","13",2019
"176_Combined",373556054389570944,"a","nitrogen:appl","Acc_TQ","13",2019
"176_Split",373556054389570944,"a","nitrogen:appl","Acc_TQ","13",2019
"220_Combined",373556054389570944,"a","nitrogen:appl","Acc_TQ","13",2019
"220_Split",373556054389570944,"a","nitrogen:appl","Acc_TQ","13",2019
"176_Apertus",373556054389570944,"a","nitrogen:var","Acc_TQ","13",2019
"176_Capone",373556054389570944,"a","nitrogen:var","Acc_TQ","13",2019
"176_Patras",373556054389570944,"a","nitrogen:var","Acc_TQ","13",2019
"176_Pionier",373556054389570944,"a","nitrogen:var","Acc_TQ","13",2019
"220_Apertus",373556054389570944,"a","nitrogen:var","Acc_TQ","13",2019
"220_Capone",373556054389570944,"a","nitrogen:var","Acc_TQ","13",2019
"220_Patras",373556054389570944,"a","nitrogen:var","Acc_TQ","13",2019
"220_Pionier",373556054389570944,"a","nitrogen:var","Acc_TQ","13",2019
"Combined_Apertus",373556054389570944,"a","appl:var","Acc_TQ","13",2019
"Combined_Capone",373556054389570944,"a","appl:var","Acc_TQ","13",2019
"Combined_Patras",373556054389570944,"a","appl:var","Acc_TQ","13",2019
"Combined_Pionier",373556054389570944,"a","appl:var","Acc_TQ","13",2019
"Split_Apertus",373556054389570944,"a","appl:var","Acc_TQ","13",2019
"Split_Capone",373556054389570944,"a","appl:var","Acc_TQ","13",2019
"Split_Patras",373556054389570944,"a","appl:var","Acc_TQ","13",2019
"Split_Pionier",373556054389570944,"a","appl:var","Acc_TQ","13",2019
"Late_Apertus",373556054389571008,"a","timeid:var","Acc_TQ","13",2019
"Late_Capone",373556054389571008,"a","timeid:var","Acc_TQ","13",2019
"Late_Patras",373556054389571008,"a","timeid:var","Acc_TQ","13",2019
"Late_Pionier",373556054389571008,"a","timeid:var","Acc_TQ","13",2019
"Early_Apertus",373556054389570816,"b","timeid:var","Acc_TQ","13",2019
"Early_Capone",373556054389570816,"b","timeid:var","Acc_TQ","13",2019
"Early_Patras",373556054389570816,"b","timeid:var","Acc_TQ","13",2019
"Early_Pionier",373556054389570816,"b","timeid:var","Acc_TQ","13",2019
"176_Combined_Apertus",373556054389570944,"a","nitrogen:appl:var","Acc_TQ","13",2019
"176_Combined_Capone",373556054389570944,"a","nitrogen:appl:var","Acc_TQ","13",2019
"176_Combined_Patras",373556054389570944,"a","nitrogen:appl:var","Acc_TQ","13",2019
"176_Combined_Pionier",373556054389570944,"a","nitrogen:appl:var","Acc_TQ","13",2019
"176_Split_Apertus",373556054389570944,"a","nitrogen:appl:var","Acc_TQ","13",2019
"176_Split_Capone",373556054389570944,"a","nitrogen:appl:var","Acc_TQ","13",2019
"176_Split_Patras",373556054389570944,"a","nitrogen:appl:var","Acc_TQ","13",2019
"176_Split_Pionier",373556054389570944,"a","nitrogen:appl:var","Acc_TQ","13",2019
"220_Combined_Apertus",373556054389570944,"a","nitrogen:appl:var","Acc_TQ","13",2019
"220_Combined_Capone",373556054389570944,"a","nitrogen:appl:var","Acc_TQ","13",2019
"220_Combined_Patras",373556054389570944,"a","nitrogen:appl:var","Acc_TQ","13",2019
"220_Combined_Pionier",373556054389570944,"a","nitrogen:appl:var","Acc_TQ","13",2019
"220_Split_Apertus",373556054389570944,"a","nitrogen:appl:var","Acc_TQ","13",2019
"220_Split_Capone",373556054389570944,"a","nitrogen:appl:var","Acc_TQ","13",2019
"220_Split_Patras",373556054389570944,"a","nitrogen:appl:var","Acc_TQ","13",2019
"220_Split_Pionier",373556054389570944,"a","nitrogen:appl:var","Acc_TQ","13",2019
"176_Late_Apertus",373556054389571008,"a","nitrogen:timeid:var","Acc_TQ","13",2019
"176_Late_Capone",373556054389571008,"a","nitrogen:timeid:var","Acc_TQ","13",2019
"176_Late_Patras",373556054389571008,"a","nitrogen:timeid:var","Acc_TQ","13",2019
"176_Late_Pionier",373556054389571008,"a","nitrogen:timeid:var","Acc_TQ","13",2019
"220_Late_Apertus",373556054389571008,"a","nitrogen:timeid:var","Acc_TQ","13",2019
"220_Late_Capone",373556054389571008,"a","nitrogen:timeid:var","Acc_TQ","13",2019
"220_Late_Patras",373556054389571008,"a","nitrogen:timeid:var","Acc_TQ","13",2019
"220_Late_Pionier",373556054389571008,"a","nitrogen:timeid:var","Acc_TQ","13",2019
"176_Early_Apertus",373556054389570816,"b","nitrogen:timeid:var","Acc_TQ","13",2019
"176_Early_Capone",373556054389570816,"b","nitrogen:timeid:var","Acc_TQ","13",2019
"176_Early_Patras",373556054389570816,"b","nitrogen:timeid:var","Acc_TQ","13",2019
"176_Early_Pionier",373556054389570816,"b","nitrogen:timeid:var","Acc_TQ","13",2019
"220_Early_Apertus",373556054389570816,"b","nitrogen:timeid:var","Acc_TQ","13",2019
"220_Early_Capone",373556054389570816,"b","nitrogen:timeid:var","Acc_TQ","13",2019
"220_Early_Patras",373556054389570816,"b","nitrogen:timeid:var","Acc_TQ","13",2019
"220_Early_Pionier",373556054389570816,"b","nitrogen:timeid:var","Acc_TQ","13",2019
"Combined_Late_Apertus",373556054389571008,"a","appl:timeid:var","Acc_TQ","13",2019
"Combined_Late_Capone",373556054389571008,"a","appl:timeid:var","Acc_TQ","13",2019
"Combined_Late_Patras",373556054389571008,"a","appl:timeid:var","Acc_TQ","13",2019
"Combined_Late_Pionier",373556054389571008,"a","appl:timeid:var","Acc_TQ","13",2019
"Split_Late_Apertus",373556054389571008,"a","appl:timeid:var","Acc_TQ","13",2019
"Split_Late_Capone",373556054389571008,"a","appl:timeid:var","Acc_TQ","13",2019
"Split_Late_Patras",373556054389571008,"a","appl:timeid:var","Acc_TQ","13",2019
"Split_Late_Pionier",373556054389571008,"a","appl:timeid:var","Acc_TQ","13",2019
"Combined_Early_Apertus",373556054389570816,"b","appl:timeid:var","Acc_TQ","13",2019
"Combined_Early_Capone",373556054389570816,"b","appl:timeid:var","Acc_TQ","13",2019
"Combined_Early_Patras",373556054389570816,"b","appl:timeid:var","Acc_TQ","13",2019
"Combined_Early_Pionier",373556054389570816,"b","appl:timeid:var","Acc_TQ","13",2019
"Split_Early_Apertus",373556054389570816,"b","appl:timeid:var","Acc_TQ","13",2019
"Split_Early_Capone",373556054389570816,"b","appl:timeid:var","Acc_TQ","13",2019
"Split_Early_Patras",373556054389570816,"b","appl:timeid:var","Acc_TQ","13",2019
"Split_Early_Pionier",373556054389570816,"b","appl:timeid:var","Acc_TQ","13",2019
"176_Combined_Late_Apertus",373556054389571008,"a","nitrogen:appl:timeid:var","Acc_TQ","13",2019
"176_Combined_Late_Capone",373556054389571008,"a","nitrogen:appl:timeid:var","Acc_TQ","13",2019
"176_Combined_Late_Patras",373556054389571008,"a","nitrogen:appl:timeid:var","Acc_TQ","13",2019
"176_Combined_Late_Pionier",373556054389571008,"a","nitrogen:appl:timeid:var","Acc_TQ","13",2019
"176_Split_Late_Apertus",373556054389571008,"a","nitrogen:appl:timeid:var","Acc_TQ","13",2019
"176_Split_Late_Capone",373556054389571008,"a","nitrogen:appl:timeid:var","Acc_TQ","13",2019
"176_Split_Late_Patras",373556054389571008,"a","nitrogen:appl:timeid:var","Acc_TQ","13",2019
"176_Split_Late_Pionier",373556054389571008,"a","nitrogen:appl:timeid:var","Acc_TQ","13",2019
"220_Combined_Late_Apertus",373556054389571008,"a","nitrogen:appl:timeid:var","Acc_TQ","13",2019
"220_Combined_Late_Capone",373556054389571008,"a","nitrogen:appl:timeid:var","Acc_TQ","13",2019
"220_Combined_Late_Patras",373556054389571008,"a","nitrogen:appl:timeid:var","Acc_TQ","13",2019
"220_Combined_Late_Pionier",373556054389571008,"a","nitrogen:appl:timeid:var","Acc_TQ","13",2019
"220_Split_Late_Apertus",373556054389571008,"a","nitrogen:appl:timeid:var","Acc_TQ","13",2019
"220_Split_Late_Capone",373556054389571008,"a","nitrogen:appl:timeid:var","Acc_TQ","13",2019
"220_Split_Late_Patras",373556054389571008,"a","nitrogen:appl:timeid:var","Acc_TQ","13",2019
"220_Split_Late_Pionier",373556054389571008,"a","nitrogen:appl:timeid:var","Acc_TQ","13",2019
"176_Combined_Early_Apertus",373556054389570816,"b","nitrogen:appl:timeid:var","Acc_TQ","13",2019
"176_Combined_Early_Capone",373556054389570816,"b","nitrogen:appl:timeid:var","Acc_TQ","13",2019
"176_Combined_Early_Patras",373556054389570816,"b","nitrogen:appl:timeid:var","Acc_TQ","13",2019
"176_Combined_Early_Pionier",373556054389570816,"b","nitrogen:appl:timeid:var","Acc_TQ","13",2019
"176_Split_Early_Apertus",373556054389570816,"b","nitrogen:appl:timeid:var","Acc_TQ","13",2019
"176_Split_Early_Capone",373556054389570816,"b","nitrogen:appl:timeid:var","Acc_TQ","13",2019
"176_Split_Early_Patras",373556054389570816,"b","nitrogen:appl:timeid:var","Acc_TQ","13",2019
"176_Split_Early_Pionier",373556054389570816,"b","nitrogen:appl:timeid:var","Acc_TQ","13",2019
"220_Combined_Early_Apertus",373556054389570816,"b","nitrogen:appl:timeid:var","Acc_TQ","13",2019
"220_Combined_Early_Capone",373556054389570816,"b","nitrogen:appl:timeid:var","Acc_TQ","13",2019
"220_Combined_Early_Patras",373556054389570816,"b","nitrogen:appl:timeid:var","Acc_TQ","13",2019
"220_Combined_Early_Pionier",373556054389570816,"b","nitrogen:appl:timeid:var","Acc_TQ","13",2019
"220_Split_Early_Apertus",373556054389570816,"b","nitrogen:appl:timeid:var","Acc_TQ","13",2019
"220_Split_Early_Capone",373556054389570816,"b","nitrogen:appl:timeid:var","Acc_TQ","13",2019
"220_Split_Early_Patras",373556054389570816,"b","nitrogen:appl:timeid:var","Acc_TQ","13",2019
"220_Split_Early_Pionier",373556054389570816,"b","nitrogen:appl:timeid:var","Acc_TQ","13",2019
"Capone",128,"a","var","Acc_TQ","13
23",2019
"Patras",128,"a","var","Acc_TQ","13
23",2019
"Pionier",128,"a","var","Acc_TQ","13
23",2019
"Apertus",125.333333333333,"b","var","Acc_TQ","13
23",2019
"176_Apertus",128,"a","nitrogen:var","Acc_TQ","13
23",2019
"176_Capone",128,"a","nitrogen:var","Acc_TQ","13
23",2019
"176_Patras",128,"a","nitrogen:var","Acc_TQ","13
23",2019
