"treatment","Trait","groups","combi","trait","Year","part","BBCH","group"
"Split_Early_Apertus",0.0194154997833656,"a","appl:timeid:var","CGR_tt_31_41","DFG2019","all","31_41",NA
"Split_Early_Pionier",0.0181673263524801,"ab","appl:timeid:var","CGR_tt_31_41","DFG2019","all","31_41",NA
"Combined_Early_Patras",0.0177656153632296,"abc","appl:timeid:var","CGR_tt_31_41","DFG2019","all","31_41",NA
"Split_Early_Patras",0.0162661068821913,"abcd","appl:timeid:var","CGR_tt_31_41","DFG2019","all","31_41",NA
"Combined_Late_Apertus",0.0155296367352322,"bcde","appl:timeid:var","CGR_tt_31_41","DFG2019","all","31_41",NA
"Combined_Early_Pionier",0.0146178165532825,"cdef","appl:timeid:var","CGR_tt_31_41","DFG2019","all","31_41",NA
"Split_Late_Apertus",0.0144132415124606,"def","appl:timeid:var","CGR_tt_31_41","DFG2019","all","31_41",NA
"Split_Early_Capone",0.0142894337604825,"def","appl:timeid:var","CGR_tt_31_41","DFG2019","all","31_41",NA
"Combined_Late_Patras",0.0138064241186456,"def","appl:timeid:var","CGR_tt_31_41","DFG2019","all","31_41",NA
"Split_Late_Capone",0.0134817608720424,"def","appl:timeid:var","CGR_tt_31_41","DFG2019","all","31_41",NA
"Combined_Early_Capone",0.0133792076697601,"def","appl:timeid:var","CGR_tt_31_41","DFG2019","all","31_41",NA
"Combined_Late_Pionier",0.0133159753844152,"def","appl:timeid:var","CGR_tt_31_41","DFG2019","all","31_41",NA
"Combined_Late_Capone",0.0130428544208242,"def","appl:timeid:var","CGR_tt_31_41","DFG2019","all","31_41",NA
"Combined_Early_Apertus",0.0128324343788358,"ef","appl:timeid:var","CGR_tt_31_41","DFG2019","all","31_41",NA
"Split_Late_Patras",0.0120003187582455,"f","appl:timeid:var","CGR_tt_31_41","DFG2019","all","31_41",NA
"Split_Late_Pionier",0.0118876696448578,"f","appl:timeid:var","CGR_tt_31_41","DFG2019","all","31_41",NA
"Capone",0.0106708670951216,"a","var","CGR_tt_61_87","DFG2019","all","61_87",NA
"Pionier",0.0102589363563723,"a","var","CGR_tt_61_87","DFG2019","all","61_87",NA
"Patras",0.00890262859749959,"ab","var","CGR_tt_61_87","DFG2019","all","61_87",NA
"Apertus",0.00697007288666959,"b","var","CGR_tt_61_87","DFG2019","all","61_87",NA
"Apertus",27.3062754738236,"a","var","DMTE","DFG2019",NA,"61_87","biomass"
"Patras",23.41673991167,"ab","var","DMTE","DFG2019",NA,"61_87","biomass"
"Capone",18.9195125986879,"b","var","DMTE","DFG2019",NA,"61_87","biomass"
"Pionier",16.3317700810588,"b","var","DMTE","DFG2019",NA,"61_87","biomass"
"Split",0.98124999509375,"a","appl","Delta_DM_23_31","DFG2019","all","23_31",NA
"Combined",0.842874995785625,"b","appl","Delta_DM_23_31","DFG2019","all","23_31",NA
"Early",7.45331246273344,"a","timeid","Delta_DM_31_41","DFG2019","all","31_41",NA
"Late",6.32087496839562,"b","timeid","Delta_DM_31_41","DFG2019","all","31_41",NA
"Apertus",7.314999963425,"a","var","Delta_DM_31_41","DFG2019","all","31_41",NA
"Patras",7.03831246480844,"a","var","Delta_DM_31_41","DFG2019","all","31_41",NA
"Pionier",6.82074996589625,"ab","var","Delta_DM_31_41","DFG2019","all","31_41",NA
"Capone",6.37431246812844,"b","var","Delta_DM_31_41","DFG2019","all","31_41",NA
"Split_Early_Apertus",9.13474995432625,"a","appl:timeid:var","Delta_DM_31_41","DFG2019","all","31_41",NA
"Split_Early_Pionier",8.5474999572625,"ab","appl:timeid:var","Delta_DM_31_41","DFG2019","all","31_41",NA
"Combined_Early_Patras",8.3584999582075,"abc","appl:timeid:var","Delta_DM_31_41","DFG2019","all","31_41",NA
"Split_Early_Patras",7.652999961735,"abcd","appl:timeid:var","Delta_DM_31_41","DFG2019","all","31_41",NA
"Combined_Late_Apertus",7.3064999634675,"bcde","appl:timeid:var","Delta_DM_31_41","DFG2019","all","31_41",NA
"Combined_Early_Pionier",6.8774999656125,"cdef","appl:timeid:var","Delta_DM_31_41","DFG2019","all","31_41",NA
"Split_Late_Apertus",6.78124996609375,"def","appl:timeid:var","Delta_DM_31_41","DFG2019","all","31_41",NA
"Split_Early_Capone",6.722999966385,"def","appl:timeid:var","Delta_DM_31_41","DFG2019","all","31_41",NA
"Combined_Late_Patras",6.49574996752125,"def","appl:timeid:var","Delta_DM_31_41","DFG2019","all","31_41",NA
"Split_Late_Capone",6.342999968285,"def","appl:timeid:var","Delta_DM_31_41","DFG2019","all","31_41",NA
"Combined_Early_Capone",6.29474996852625,"def","appl:timeid:var","Delta_DM_31_41","DFG2019","all","31_41",NA
"Combined_Late_Pionier",6.264999968675,"def","appl:timeid:var","Delta_DM_31_41","DFG2019","all","31_41",NA
"Combined_Late_Capone",6.1364999693175,"def","appl:timeid:var","Delta_DM_31_41","DFG2019","all","31_41",NA
"Combined_Early_Apertus",6.0374999698125,"ef","appl:timeid:var","Delta_DM_31_41","DFG2019","all","31_41",NA
"Split_Late_Patras",5.64599997177,"f","appl:timeid:var","Delta_DM_31_41","DFG2019","all","31_41",NA
"Split_Late_Pionier",5.592999972035,"f","appl:timeid:var","Delta_DM_31_41","DFG2019","all","31_41",NA
"Capone",8.20687495896562,"a","var","Delta_DM_61_87","DFG2019","all","61_87",NA
"Pionier",7.89006246054969,"a","var","Delta_DM_61_87","DFG2019","all","61_87",NA
"Patras",6.84693746576531,"ab","var","Delta_DM_61_87","DFG2019","all","61_87",NA
"Apertus",5.36062497319687,"b","var","Delta_DM_61_87","DFG2019","all","61_87",NA
"220",1.32853124335734,"a","nitrogen","Delta_ear_51_61","DFG2019","ear","51_61",NA
"176",0.953968745230156,"b","nitrogen","Delta_ear_51_61","DFG2019","ear","51_61",NA
"Early",10.5330624473347,"a","timeid","Delta_ear_61_87","DFG2019","ear","61_87",NA
"Late",9.38084370309578,"b","timeid","Delta_ear_61_87","DFG2019","ear","61_87",NA
"Capone",10.4941874475291,"a","var","Delta_ear_61_87","DFG2019","ear","61_87",NA
"Patras",10.2375624488122,"a","var","Delta_ear_61_87","DFG2019","ear","61_87",NA
"Pionier",9.72206245138969,"ab","var","Delta_ear_61_87","DFG2019","ear","61_87",NA
"Apertus",9.37399995313,"b","var","Delta_ear_61_87","DFG2019","ear","61_87",NA
"220_Early_Capone",14.1874999290625,"a","nitrogen:timeid:var","Delta_ear_61_87","DFG2019","ear","61_87",NA
"220_Early_Pionier",10.9972499450138,"ab","nitrogen:timeid:var","Delta_ear_61_87","DFG2019","ear","61_87",NA
"176_Early_Patras",10.9034999454825,"ab","nitrogen:timeid:var","Delta_ear_61_87","DFG2019","ear","61_87",NA
"220_Late_Patras",10.742999946285,"ab","nitrogen:timeid:var","Delta_ear_61_87","DFG2019","ear","61_87",NA
"220_Early_Apertus",10.4567499477163,"ab","nitrogen:timeid:var","Delta_ear_61_87","DFG2019","ear","61_87",NA
"176_Early_Pionier",10.218999948905,"ab","nitrogen:timeid:var","Delta_ear_61_87","DFG2019","ear","61_87",NA
"176_Late_Patras",10.01399994993,"ab","nitrogen:timeid:var","Delta_ear_61_87","DFG2019","ear","61_87",NA
"176_Early_Capone",9.74074995129625,"ab","nitrogen:timeid:var","Delta_ear_61_87","DFG2019","ear","61_87",NA
"176_Late_Capone",9.5054999524725,"ab","nitrogen:timeid:var","Delta_ear_61_87","DFG2019","ear","61_87",NA
"220_Late_Apertus",9.49374995253125,"ab","nitrogen:timeid:var","Delta_ear_61_87","DFG2019","ear","61_87",NA
"176_Late_Pionier",9.35274995323625,"ab","nitrogen:timeid:var","Delta_ear_61_87","DFG2019","ear","61_87",NA
"220_Early_Patras",9.28974995355125,"ab","nitrogen:timeid:var","Delta_ear_61_87","DFG2019","ear","61_87",NA
"176_Late_Apertus",9.0754999546225,"b","nitrogen:timeid:var","Delta_ear_61_87","DFG2019","ear","61_87",NA
"220_Late_Capone",8.542999957285,"b","nitrogen:timeid:var","Delta_ear_61_87","DFG2019","ear","61_87",NA
"176_Early_Apertus",8.46999995765,"b","nitrogen:timeid:var","Delta_ear_61_87","DFG2019","ear","61_87",NA
"220_Late_Pionier",8.31924995840375,"b","nitrogen:timeid:var","Delta_ear_61_87","DFG2019","ear","61_87",NA
"220",2.34062498829688,"a","nitrogen","Delta_spikeNr_51_61","DFG2019","biomasscut","51_61",NA
"176",1.08124999459375,"b","nitrogen","Delta_spikeNr_51_61","DFG2019","biomasscut","51_61",NA
"220_Split_Late_Apertus",3.599999982,"a","nitrogen:appl:timeid:var","Delta_spikeNr_51_61","DFG2019","biomasscut","51_61",NA
"220_Combined_Early_Pionier",3.54999998225,"a","nitrogen:appl:timeid:var","Delta_spikeNr_51_61","DFG2019","biomasscut","51_61",NA
"220_Combined_Late_Apertus",3.54999998225,"a","nitrogen:appl:timeid:var","Delta_spikeNr_51_61","DFG2019","biomasscut","51_61",NA
"220_Split_Late_Pionier",3.4999999825,"a","nitrogen:appl:timeid:var","Delta_spikeNr_51_61","DFG2019","biomasscut","51_61",NA
"176_Split_Early_Pionier",2.799999986,"ab","nitrogen:appl:timeid:var","Delta_spikeNr_51_61","DFG2019","biomasscut","51_61",NA
"220_Combined_Late_Capone",2.799999986,"ab","nitrogen:appl:timeid:var","Delta_spikeNr_51_61","DFG2019","biomasscut","51_61",NA
"220_Split_Early_Capone",2.64999998675,"ab","nitrogen:appl:timeid:var","Delta_spikeNr_51_61","DFG2019","biomasscut","51_61",NA
"176_Combined_Late_Pionier",2.599999987,"ab","nitrogen:appl:timeid:var","Delta_spikeNr_51_61","DFG2019","biomasscut","51_61",NA
"220_Split_Early_Apertus",2.599999987,"ab","nitrogen:appl:timeid:var","Delta_spikeNr_51_61","DFG2019","biomasscut","51_61",NA
"176_Split_Late_Apertus",2.54999998725,"ab","nitrogen:appl:timeid:var","Delta_spikeNr_51_61","DFG2019","biomasscut","51_61",NA
"220_Split_Late_Patras",2.44999998775,"ab","nitrogen:appl:timeid:var","Delta_spikeNr_51_61","DFG2019","biomasscut","51_61",NA
"220_Combined_Late_Patras",2.199999989,"ab","nitrogen:appl:timeid:var","Delta_spikeNr_51_61","DFG2019","biomasscut","51_61",NA
"176_Combined_Late_Capone",2.14999998925,"ab","nitrogen:appl:timeid:var","Delta_spikeNr_51_61","DFG2019","biomasscut","51_61",NA
"220_Combined_Late_Pionier",2.0999999895,"ab","nitrogen:appl:timeid:var","Delta_spikeNr_51_61","DFG2019","biomasscut","51_61",NA
"220_Split_Late_Capone",2.04999998975,"ab","nitrogen:appl:timeid:var","Delta_spikeNr_51_61","DFG2019","biomasscut","51_61",NA
"220_Combined_Early_Capone",1.799999991,"ab","nitrogen:appl:timeid:var","Delta_spikeNr_51_61","DFG2019","biomasscut","51_61",NA
"176_Split_Late_Capone",1.6999999915,"ab","nitrogen:appl:timeid:var","Delta_spikeNr_51_61","DFG2019","biomasscut","51_61",NA
"176_Split_Late_Patras",1.6999999915,"ab","nitrogen:appl:timeid:var","Delta_spikeNr_51_61","DFG2019","biomasscut","51_61",NA
"220_Split_Early_Patras",1.64999999175,"ab","nitrogen:appl:timeid:var","Delta_spikeNr_51_61","DFG2019","biomasscut","51_61",NA
"220_Split_Early_Pionier",1.44999999275,"ab","nitrogen:appl:timeid:var","Delta_spikeNr_51_61","DFG2019","biomasscut","51_61",NA
"176_Combined_Late_Apertus",1.24999999375,"ab","nitrogen:appl:timeid:var","Delta_spikeNr_51_61","DFG2019","biomasscut","51_61",NA
"176_Split_Early_Patras",0.999999995,"ab","nitrogen:appl:timeid:var","Delta_spikeNr_51_61","DFG2019","biomasscut","51_61",NA
"176_Combined_Early_Apertus",0.94999999525,"ab","nitrogen:appl:timeid:var","Delta_spikeNr_51_61","DFG2019","biomasscut","51_61",NA
"220_Combined_Early_Apertus",0.799999996,"ab","nitrogen:appl:timeid:var","Delta_spikeNr_51_61","DFG2019","biomasscut","51_61",NA
"220_Combined_Early_Patras",0.6999999965,"ab","nitrogen:appl:timeid:var","Delta_spikeNr_51_61","DFG2019","biomasscut","51_61",NA
"176_Combined_Early_Capone",0.6999999965,"ab","nitrogen:appl:timeid:var","Delta_spikeNr_51_61","DFG2019","biomasscut","51_61",NA
"176_Combined_Late_Patras",0.64999999675,"ab","nitrogen:appl:timeid:var","Delta_spikeNr_51_61","DFG2019","biomasscut","51_61",NA
"176_Split_Late_Pionier",0.44999999775,"ab","nitrogen:appl:timeid:var","Delta_spikeNr_51_61","DFG2019","biomasscut","51_61",NA
"176_Combined_Early_Pionier",0.399999998,"ab","nitrogen:appl:timeid:var","Delta_spikeNr_51_61","DFG2019","biomasscut","51_61",NA
"176_Split_Early_Apertus",-0.199999999,"ab","nitrogen:appl:timeid:var","Delta_spikeNr_51_61","DFG2019","biomasscut","51_61",NA
"176_Combined_Early_Patras",-0.399999998,"ab","nitrogen:appl:timeid:var","Delta_spikeNr_51_61","DFG2019","biomasscut","51_61",NA
"176_Split_Early_Capone",-0.999999995,"b","nitrogen:appl:timeid:var","Delta_spikeNr_51_61","DFG2019","biomasscut","51_61",NA
"Pionier",0.53124999734375,"a","var","Delta_spikeNr_61_87","DFG2019","biomasscut","61_87",NA
"Capone",0.19374999903125,"ab","var","Delta_spikeNr_61_87","DFG2019","biomasscut","61_87",NA
"Patras",0.0312499998437499,"ab","var","Delta_spikeNr_61_87","DFG2019","biomasscut","61_87",NA
"Apertus",-0.6999999965,"b","var","Delta_spikeNr_61_87","DFG2019","biomasscut","61_87",NA
"Pionier",4.9124999754375,"a","var","Delta_tillerNr_31_41","DFG2019","biomasscut","31_41",NA
"Apertus",4.24999997875,"ab","var","Delta_tillerNr_31_41","DFG2019","biomasscut","31_41",NA
"Capone",3.524999982375,"bc","var","Delta_tillerNr_31_41","DFG2019","biomasscut","31_41",NA
"Patras",3.274999983625,"c","var","Delta_tillerNr_31_41","DFG2019","biomasscut","31_41",NA
"Split_Early",4.4999999775,"a","appl:timeid","Delta_tillerNr_31_41","DFG2019","biomasscut","31_41",NA
"Combined_Late",4.1124999794375,"ab","appl:timeid","Delta_tillerNr_31_41","DFG2019","biomasscut","31_41",NA
"Split_Late",4.0874999795625,"ab","appl:timeid","Delta_tillerNr_31_41","DFG2019","biomasscut","31_41",NA
"Combined_Early",3.2624999836875,"b","appl:timeid","Delta_tillerNr_31_41","DFG2019","biomasscut","31_41",NA
"Split",3.43124998284375,"a","appl","Delta_tillerNr_31_61","DFG2019","biomasscut","31_61",NA
"Combined",2.55624998721875,"b","appl","Delta_tillerNr_31_61","DFG2019","biomasscut","31_61",NA
"176_Split_Late_Apertus",4.94999997525,"a","nitrogen:appl:timeid:var","Delta_tillerNr_31_61","DFG2019","biomasscut","31_61",NA
"176_Split_Early_Pionier",4.74999997625,"ab","nitrogen:appl:timeid:var","Delta_tillerNr_31_61","DFG2019","biomasscut","31_61",NA
"220_Combined_Late_Apertus",4.74999997625,"ab","nitrogen:appl:timeid:var","Delta_tillerNr_31_61","DFG2019","biomasscut","31_61",NA
"220_Split_Late_Apertus",4.74999997625,"ab","nitrogen:appl:timeid:var","Delta_tillerNr_31_61","DFG2019","biomasscut","31_61",NA
"220_Split_Late_Pionier",4.0999999795,"abc","nitrogen:appl:timeid:var","Delta_tillerNr_31_61","DFG2019","biomasscut","31_61",NA
"220_Split_Early_Apertus",4.04999997975,"abc","nitrogen:appl:timeid:var","Delta_tillerNr_31_61","DFG2019","biomasscut","31_61",NA
"220_Combined_Late_Pionier",3.94999998025,"abc","nitrogen:appl:timeid:var","Delta_tillerNr_31_61","DFG2019","biomasscut","31_61",NA
"220_Combined_Early_Pionier",3.74999998125,"abcd","nitrogen:appl:timeid:var","Delta_tillerNr_31_61","DFG2019","biomasscut","31_61",NA
"220_Split_Late_Patras",3.6999999815,"abcd","nitrogen:appl:timeid:var","Delta_tillerNr_31_61","DFG2019","biomasscut","31_61",NA
"176_Split_Late_Patras",3.54999998225,"abcd","nitrogen:appl:timeid:var","Delta_tillerNr_31_61","DFG2019","biomasscut","31_61",NA
"220_Split_Early_Capone",3.24999998375,"abcd","nitrogen:appl:timeid:var","Delta_tillerNr_31_61","DFG2019","biomasscut","31_61",NA
"176_Split_Early_Patras",3.199999984,"abcd","nitrogen:appl:timeid:var","Delta_tillerNr_31_61","DFG2019","biomasscut","31_61",NA
"220_Combined_Early_Apertus",3.0999999845,"abcd","nitrogen:appl:timeid:var","Delta_tillerNr_31_61","DFG2019","biomasscut","31_61",NA
"176_Split_Early_Capone",3.04999998475,"abcd","nitrogen:appl:timeid:var","Delta_tillerNr_31_61","DFG2019","biomasscut","31_61",NA
"220_Split_Early_Patras",3.04999998475,"abcd","nitrogen:appl:timeid:var","Delta_tillerNr_31_61","DFG2019","biomasscut","31_61",NA
"176_Combined_Early_Apertus",2.94999998525,"abcd","nitrogen:appl:timeid:var","Delta_tillerNr_31_61","DFG2019","biomasscut","31_61",NA
"176_Split_Late_Capone",2.94999998525,"abcd","nitrogen:appl:timeid:var","Delta_tillerNr_31_61","DFG2019","biomasscut","31_61",NA
"220_Combined_Late_Patras",2.8999999855,"abcd","nitrogen:appl:timeid:var","Delta_tillerNr_31_61","DFG2019","biomasscut","31_61",NA
"220_Combined_Late_Capone",2.799999986,"abcd","nitrogen:appl:timeid:var","Delta_tillerNr_31_61","DFG2019","biomasscut","31_61",NA
"176_Split_Early_Apertus",2.74999998625,"abcd","nitrogen:appl:timeid:var","Delta_tillerNr_31_61","DFG2019","biomasscut","31_61",NA
"176_Combined_Late_Apertus",2.64999998675,"abcd","nitrogen:appl:timeid:var","Delta_tillerNr_31_61","DFG2019","biomasscut","31_61",NA
"176_Combined_Early_Pionier",2.599999987,"abcd","nitrogen:appl:timeid:var","Delta_tillerNr_31_61","DFG2019","biomasscut","31_61",NA
"176_Combined_Late_Pionier",2.4999999875,"abcd","nitrogen:appl:timeid:var","Delta_tillerNr_31_61","DFG2019","biomasscut","31_61",NA
"220_Split_Late_Capone",2.4999999875,"abcd","nitrogen:appl:timeid:var","Delta_tillerNr_31_61","DFG2019","biomasscut","31_61",NA
"220_Split_Early_Pionier",2.44999998775,"abcd","nitrogen:appl:timeid:var","Delta_tillerNr_31_61","DFG2019","biomasscut","31_61",NA
"176_Combined_Early_Patras",1.99999999,"abcd","nitrogen:appl:timeid:var","Delta_tillerNr_31_61","DFG2019","biomasscut","31_61",NA
"176_Split_Late_Pionier",1.84999999075,"abcd","nitrogen:appl:timeid:var","Delta_tillerNr_31_61","DFG2019","biomasscut","31_61",NA
"220_Combined_Early_Capone",1.64999999175,"bcd","nitrogen:appl:timeid:var","Delta_tillerNr_31_61","DFG2019","biomasscut","31_61",NA
"220_Combined_Early_Patras",1.599999992,"cd","nitrogen:appl:timeid:var","Delta_tillerNr_31_61","DFG2019","biomasscut","31_61",NA
"176_Combined_Late_Capone",1.54999999225,"cd","nitrogen:appl:timeid:var","Delta_tillerNr_31_61","DFG2019","biomasscut","31_61",NA
"176_Combined_Late_Patras",1.44999999275,"cd","nitrogen:appl:timeid:var","Delta_tillerNr_31_61","DFG2019","biomasscut","31_61",NA
"176_Combined_Early_Capone",0.6999999965,"d","nitrogen:appl:timeid:var","Delta_tillerNr_31_61","DFG2019","biomasscut","31_61",NA
"Early_Patras",-0.5374999973125,"a","timeid:var","Delta_tillerNr_41_51","DFG2019","biomasscut","41_51",NA
"Early_Capone",-0.9374999953125,"a","timeid:var","Delta_tillerNr_41_51","DFG2019","biomasscut","41_51",NA
"Late_Pionier",-1.124999994375,"a","timeid:var","Delta_tillerNr_41_51","DFG2019","biomasscut","41_51",NA
"Early_Apertus",-1.14999999425,"a","timeid:var","Delta_tillerNr_41_51","DFG2019","biomasscut","41_51",NA
"Late_Apertus",-1.574999992125,"a","timeid:var","Delta_tillerNr_41_51","DFG2019","biomasscut","41_51",NA
"Late_Patras",-1.724999991375,"a","timeid:var","Delta_tillerNr_41_51","DFG2019","biomasscut","41_51",NA
"Late_Capone",-2.04999998975,"a","timeid:var","Delta_tillerNr_41_51","DFG2019","biomasscut","41_51",NA
"Early_Pionier",-2.199999989,"a","timeid:var","Delta_tillerNr_41_51","DFG2019","biomasscut","41_51",NA
"220_Split_Early_Capone",2.0999999895,"a","nitrogen:appl:timeid:var","Delta_tillerNr_51_61","DFG2019","biomasscut","51_61",NA
"220_Split_Late_Apertus",1.94999999025,"a","nitrogen:appl:timeid:var","Delta_tillerNr_51_61","DFG2019","biomasscut","51_61",NA
"220_Combined_Late_Apertus",1.799999991,"a","nitrogen:appl:timeid:var","Delta_tillerNr_51_61","DFG2019","biomasscut","51_61",NA
"220_Split_Late_Patras",1.6999999915,"a","nitrogen:appl:timeid:var","Delta_tillerNr_51_61","DFG2019","biomasscut","51_61",NA
"176_Split_Early_Pionier",1.64999999175,"a","nitrogen:appl:timeid:var","Delta_tillerNr_51_61","DFG2019","biomasscut","51_61",NA
"176_Split_Late_Apertus",1.599999992,"a","nitrogen:appl:timeid:var","Delta_tillerNr_51_61","DFG2019","biomasscut","51_61",NA
"220_Split_Early_Apertus",1.54999999225,"a","nitrogen:appl:timeid:var","Delta_tillerNr_51_61","DFG2019","biomasscut","51_61",NA
"220_Combined_Late_Patras",1.54999999225,"a","nitrogen:appl:timeid:var","Delta_tillerNr_51_61","DFG2019","biomasscut","51_61",NA
"176_Split_Late_Patras",1.2999999935,"a","nitrogen:appl:timeid:var","Delta_tillerNr_51_61","DFG2019","biomasscut","51_61",NA
"176_Combined_Early_Apertus",0.8999999955,"a","nitrogen:appl:timeid:var","Delta_tillerNr_51_61","DFG2019","biomasscut","51_61",NA
"176_Combined_Late_Capone",0.8999999955,"a","nitrogen:appl:timeid:var","Delta_tillerNr_51_61","DFG2019","biomasscut","51_61",NA
"220_Split_Early_Patras",0.84999999575,"a","nitrogen:appl:timeid:var","Delta_tillerNr_51_61","DFG2019","biomasscut","51_61",NA
"176_Split_Late_Capone",0.799999996,"a","nitrogen:appl:timeid:var","Delta_tillerNr_51_61","DFG2019","biomasscut","51_61",NA
"220_Split_Late_Pionier",0.74999999625,"a","nitrogen:appl:timeid:var","Delta_tillerNr_51_61","DFG2019","biomasscut","51_61",NA
"220_Combined_Late_Capone",0.64999999675,"a","nitrogen:appl:timeid:var","Delta_tillerNr_51_61","DFG2019","biomasscut","51_61",NA
"220_Combined_Late_Pionier",0.599999997,"a","nitrogen:appl:timeid:var","Delta_tillerNr_51_61","DFG2019","biomasscut","51_61",NA
"220_Combined_Early_Pionier",0.399999998,"a","nitrogen:appl:timeid:var","Delta_tillerNr_51_61","DFG2019","biomasscut","51_61",NA
"220_Combined_Early_Apertus",0.0999999995,"a","nitrogen:appl:timeid:var","Delta_tillerNr_51_61","DFG2019","biomasscut","51_61",NA
"176_Combined_Late_Apertus",0.04999999975,"a","nitrogen:appl:timeid:var","Delta_tillerNr_51_61","DFG2019","biomasscut","51_61",NA
"176_Split_Early_Patras",0.0499999997499997,"a","nitrogen:appl:timeid:var","Delta_tillerNr_51_61","DFG2019","biomasscut","51_61",NA
"220_Combined_Early_Capone",-0.0999999994999997,"a","nitrogen:appl:timeid:var","Delta_tillerNr_51_61","DFG2019","biomasscut","51_61",NA
"176_Combined_Late_Pionier",-0.0999999994999999,"a","nitrogen:appl:timeid:var","Delta_tillerNr_51_61","DFG2019","biomasscut","51_61",NA
"176_Combined_Late_Patras",-0.0999999995,"a","nitrogen:appl:timeid:var","Delta_tillerNr_51_61","DFG2019","biomasscut","51_61",NA
"220_Split_Late_Capone",-0.14999999925,"a","nitrogen:appl:timeid:var","Delta_tillerNr_51_61","DFG2019","biomasscut","51_61",NA
"176_Combined_Early_Patras",-0.44999999775,"a","nitrogen:appl:timeid:var","Delta_tillerNr_51_61","DFG2019","biomasscut","51_61",NA
"176_Combined_Early_Capone",-0.599999997,"a","nitrogen:appl:timeid:var","Delta_tillerNr_51_61","DFG2019","biomasscut","51_61",NA
"220_Combined_Early_Patras",-0.599999997,"a","nitrogen:appl:timeid:var","Delta_tillerNr_51_61","DFG2019","biomasscut","51_61",NA
"176_Combined_Early_Pionier",-0.599999997,"a","nitrogen:appl:timeid:var","Delta_tillerNr_51_61","DFG2019","biomasscut","51_61",NA
"220_Split_Early_Pionier",-0.64999999675,"a","nitrogen:appl:timeid:var","Delta_tillerNr_51_61","DFG2019","biomasscut","51_61",NA
"176_Split_Early_Apertus",-1.0999999945,"a","nitrogen:appl:timeid:var","Delta_tillerNr_51_61","DFG2019","biomasscut","51_61",NA
"176_Split_Early_Capone",-1.399999993,"a","nitrogen:appl:timeid:var","Delta_tillerNr_51_61","DFG2019","biomasscut","51_61",NA
"176_Split_Late_Pionier",-2.0999999895,"a","nitrogen:appl:timeid:var","Delta_tillerNr_51_61","DFG2019","biomasscut","51_61",NA
