"DayTime","y","m","d","DailyMean_Temperature","Acc_Temperature","Acc_Percipitation","Acc_Radiation","DailySum_Percipitation","DailySum_Radiation","sowing_date","DFG_year","sowingD","Das","Daily_TQ","Acc_TQ"
2019-10-27,2019,10,27,10.6083333333333,54.2666666666667,1.26,25.70832,1.14,4.36896,"Early","DFG2020",2019-10-24,3,0.41184226237235,1.87908745936979
2019-11-16,2019,11,16,4.40416666666667,18.6791666666667,5.02,12.24396,5.02,2.5686,"Late","DFG2020",2019-11-13,3,0.583220435193945,2.56551825799768
2020-10-25,2020,10,25,13.3,55.4916666666667,7.7,15.8346,1.92,2.89224,"Early","DFG2021",2020-10-22,3,0.217461654135338,1.11408321584967
2020-11-08,2020,11,8,7.80416666666667,30.0916666666667,0.12,25.44372,0.03,6.04476,"Late","DFG2021",2020-11-05,3,0.774555472504004,3.50848126877216
2018-10-29,2018,10,29,4.3625,36.3833333333333,4.59,16.18452,0.06,1.25136,"Early","DFG2019",2018-10-25,4,0.286844699140401,2.60603076381301
2018-11-12,2018,11,12,13.0375,56.6833333333333,3.63,17.6994,1.56,4.14252,"Late","DFG2019",2018-11-08,4,0.31773883029722,1.59389221714631
2019-10-28,2019,10,28,7.5375,61.8041666666667,1.43,31.94244,0.17,6.23412,"Early","DFG2020",2019-10-24,4,0.827080597014925,2.70616805638471
2019-11-17,2019,11,17,2.84166666666667,21.5208333333333,6.12,14.02416,1.1,1.7802,"Late","DFG2020",2019-11-13,4,0.626463343108504,3.19198160110618
2020-10-26,2020,10,26,10.4375,65.9291666666667,8.61,17.82216,0.91,1.98756,"Early","DFG2021",2020-10-22,4,0.190424910179641,1.30450812602931
2020-11-09,2020,11,9,4.89166666666667,34.9833333333333,0.18,29.55276,0.06,4.10904,"Late","DFG2021",2020-11-05,4,0.840008177172061,4.34848944594423
2018-10-30,2018,10,30,6.9125,43.2958333333333,5.09,18.78264,0.5,2.59812,"Early","DFG2019",2018-10-25,5,0.375858227848101,2.98188899166111
2018-11-13,2018,11,13,10.3833333333333,67.0666666666667,4.62,20.58264,0.99,2.88324,"Late","DFG2019",2018-11-08,5,0.277679614767256,1.87157183191357
2019-10-29,2019,10,29,6.2875,68.0916666666667,1.43,39.93948,0,7.99704,"Early","DFG2020",2019-10-24,5,1.27189502982107,3.97806308620578
2019-11-18,2019,11,18,5.42083333333333,26.9416666666667,8.42,14.8986,2.3,0.87444,"Late","DFG2020",2019-11-13,5,0.161310991544966,3.35329259265115
2020-10-27,2020,10,27,9.91666666666667,75.8458333333333,8.61,21.81384,0,3.99168,"Early","DFG2021",2020-10-22,5,0.402522352941176,1.70703047897049
2020-11-10,2020,11,10,4.00833333333333,38.9916666666667,0.18,31.13172,0,1.57896,"Late","DFG2021",2020-11-05,5,0.393919334719335,4.74240878066356
2018-10-31,2018,10,31,9.4125,52.7083333333333,5.09,25.93152,0,7.14888,"Early","DFG2019",2018-10-25,6,0.759509163346613,3.74139815500773
2018-11-14,2018,11,14,8.53333333333333,75.6,4.62,26.6382,0,6.05556,"Late","DFG2019",2018-11-08,6,0.7096359375,2.58120776941357
2019-10-30,2019,10,30,3.71666666666667,71.8083333333333,1.43,48.88908,0,8.9496,"Early","DFG2020",2019-10-24,6,2.40796412556054,6.38602721176632
2019-11-19,2019,11,19,5.0875,32.0291666666667,9.62,16.77636,1.2,1.87776,"Late","DFG2020",2019-11-13,6,0.369092874692875,3.72238546734402
2020-10-28,2020,10,28,11.7916666666667,87.6375,8.61,27.89604,0,6.0822,"Early","DFG2021",2020-10-22,6,0.515804946996465,2.22283542596695
2020-11-11,2020,11,11,7.57916666666667,46.5708333333333,0.18,33.72516,0,2.59344,"Late","DFG2021",2020-11-05,6,0.34218009895547,5.08458887961903
2018-11-01,2018,11,1,7.67916666666667,60.3875,5.09,29.46816,0,3.53664,"Early","DFG2019",2018-10-25,7,0.46054997287032,4.20194812787805
2018-11-15,2018,11,15,4.99583333333333,80.5958333333333,4.74,32.62428,0.12,5.98608,"Late","DFG2019",2018-11-08,7,1.19821451209341,3.77942228150698
2019-10-31,2019,10,31,2.125,73.9333333333333,1.46,57.22416,0.03,8.33508,"Early","DFG2020",2019-10-24,7,3.92239058823529,10.3084178000016
2019-11-20,2019,11,20,3.65,35.6791666666667,9.68,18.42552,0.06,1.64916,"Late","DFG2020",2019-11-13,7,0.451824657534247,4.17421012487827
2020-10-29,2020,10,29,9.97916666666667,97.6166666666667,11.84,33.93828,3.23,6.04224,"Early","DFG2021",2020-10-22,7,0.605485427974948,2.8283208539419
2020-11-12,2020,11,12,8,54.5708333333333,0.27,36.927,0.09,3.20184,"Late","DFG2021",2020-11-05,7,0.40023,5.48481887961903
2018-11-02,2018,11,2,9.025,69.4125,5.09,32.78304,0,3.31488,"Early","DFG2019",2018-10-25,8,0.36729972299169,4.56924785086974
2018-11-16,2018,11,16,4.37916666666667,84.975,4.77,38.37348,0.03,5.7492,"Late","DFG2019",2018-11-08,8,1.31285252140818,5.09227480291516
2019-11-01,2019,11,1,3.96666666666667,77.9,2.52,60.57684,1.06,3.35268,"Early","DFG2020",2019-10-24,8,0.845213445378151,11.1536312453798
2019-11-21,2019,11,21,4.6375,40.3166666666667,10.14,19.14372,0.46,0.7182,"Late","DFG2020",2019-11-13,8,0.154867924528302,4.32907804940657
2020-10-30,2020,10,30,12.9708333333333,110.5875,20.07,35.28828,8.23,1.35,"Early","DFG2021",2020-10-22,8,0.104079665917122,2.93240051985902
2020-11-13,2020,11,13,8.5875,63.1583333333333,0.3,41.37012,0.03,4.44312,"Late","DFG2021",2020-11-05,8,0.517393886462882,6.00221276608191
2018-11-03,2018,11,3,5.6875,75.1,5.09,40.06296,0,7.27992,"Early","DFG2019",2018-10-25,9,1.27998593406593,5.84923378493567
2018-11-17,2018,11,17,1.56666666666667,86.5416666666667,4.8,43.16184,0.03,4.78836,"Late","DFG2019",2018-11-08,9,3.05639999999999,8.14867480291515
2019-11-02,2019,11,2,12.8083333333333,90.7083333333333,5.43,63.68652,2.91,3.10968,"Early","DFG2020",2019-10-24,9,0.242785686402083,11.3964169317818
2019-11-22,2019,11,22,5.36666666666667,45.6833333333333,10.14,22.08096,0,2.93724,"Late","DFG2020",2019-11-13,9,0.547311801242236,4.87638985064881
2020-10-31,2020,10,31,13.4083333333333,123.995833333333,21.07,38.21328,1,2.925,"Early","DFG2021",2020-10-22,9,0.218147917961467,3.15054843782049
2020-11-14,2020,11,14,12.3875,75.5458333333333,0.51,44.31096,0.21,2.94084,"Late","DFG2021",2020-11-05,9,0.237403834510595,6.23961660059251
2018-11-04,2018,11,4,7.4375,82.5375,5.12,43.52544,0.03,3.46248,"Early","DFG2019",2018-10-25,10,0.465543529411765,6.31477731434743
2018-11-18,2018,11,18,0.370833333333333,86.9125,4.92,46.46952,0.12,3.30768,"Late","DFG2019",2018-11-08,10,8.91958651685394,17.0682613197691
2019-11-03,2019,11,3,12.1458333333333,102.854166666667,5.64,68.07384,0.21,4.38732,"Early","DFG2020",2019-10-24,10,0.361220171526588,11.7576371033084
2019-11-23,2019,11,23,5.7375,51.4208333333333,10.14,23.508,0,1.42704,"Late","DFG2020",2019-11-13,10,0.248721568627451,5.12511141927626
2020-11-01,2020,11,1,14.5916666666667,138.5875,21.16,41.80212,0.09,3.58884,"Early","DFG2021",2020-10-22,10,0.245951342090234,3.39649977991072
2020-11-15,2020,11,15,13.4458333333333,88.9916666666667,0.77,48.80088,0.26,4.48992,"Late","DFG2021",2020-11-05,10,0.333926495196778,6.57354309578929
2018-11-05,2018,11,5,10.0916666666667,92.6291666666667,5.12,45.50652,0,1.98108,"Early","DFG2019",2018-10-25,11,0.196308505367464,6.5110858197149
2018-11-19,2018,11,19,4.2875,91.2,5.17,48.33072,0.25,1.8612,"Late","DFG2019",2018-11-08,11,0.434099125364432,17.5023604451335
2019-11-04,2019,11,4,11.0666666666667,113.920833333333,7.42,71.80956,1.78,3.73572,"Early","DFG2020",2019-10-24,11,0.337565060240963,12.0952021635494
2019-11-24,2019,11,24,4.45833333333333,55.8791666666667,10.14,24.28848,0,0.78048,"Late","DFG2020",2019-11-13,11,0.175060934579439,5.3001723538557
2020-11-02,2020,11,2,17.5291666666667,156.116666666667,23.24,45.88308,2.08,4.08096,"Early","DFG2021",2020-10-22,11,0.232809698122177,3.6293094780329
2020-11-16,2020,11,16,10.3833333333333,99.375,0.77,51.45228,0,2.6514,"Late","DFG2021",2020-11-05,11,0.255351524879616,6.8288946206689
2018-11-06,2018,11,6,10.2916666666667,102.920833333333,5.18,50.364,0.06,4.85748,"Early","DFG2019",2018-10-25,12,0.471981862348177,6.98306768206308
2018-11-20,2018,11,20,2.15416666666667,93.3541666666667,5.62,49.08024,0.45,0.74952,"Late","DFG2019",2018-11-08,12,0.347939651837524,17.850300096971
2019-11-05,2019,11,5,9.22083333333333,123.141666666667,10.25,73.89612,2.83,2.08656,"Early","DFG2020",2019-10-24,12,0.226287573429733,12.3214897369791
2019-11-25,2019,11,25,4.1125,59.9916666666667,10.14,25.37316,0,1.08468,"Late","DFG2020",2019-11-13,12,0.263751975683891,5.56392432953959
2020-11-03,2020,11,3,10.2208333333333,166.3375,23.24,52.65936,0,6.77628,"Early","DFG2021",2020-10-22,12,0.662987036282106,4.29229651431501
2020-11-17,2020,11,17,10.5041666666667,109.879166666667,0.95,52.23528,0.18,0.783,"Late","DFG2021",2020-11-05,12,0.074541848472828,6.90343646914173
2018-11-07,2018,11,7,11.275,114.195833333333,5.27,56.87244,0.09,6.50844,"Early","DFG2019",2018-10-25,13,0.577245232815964,7.56031291487904
2018-11-21,2018,11,21,1.65,95.0041666666667,5.62,50.43528,0,1.35504,"Late","DFG2019",2018-11-08,13,0.821236363636364,18.6715364606074
2019-11-06,2019,11,6,7.35833333333333,130.5,14.26,76.9266,4.01,3.03048,"Early","DFG2020",2019-10-24,13,0.411843261608154,12.7333329985873
2019-11-26,2019,11,26,8,67.9916666666667,10.26,27.7236,0.12,2.35044,"Late","DFG2020",2019-11-13,13,0.293805,5.85772932953959
2020-11-04,2020,11,4,6.52083333333333,172.858333333333,23.24,59.652,0,6.99264,"Early","DFG2021",2020-10-22,13,1.07235373801917,5.36465025233418
2020-11-18,2020,11,18,11.0166666666667,120.895833333333,0.95,55.31184,0,3.07656,"Late","DFG2021",2020-11-05,13,0.279264145234492,7.18270061437622
2018-11-08,2018,11,8,9.725,123.920833333333,5.33,61.19208,0.06,4.31964,"Early","DFG2019",2018-10-25,14,0.444178920308483,8.00449183518752
2018-11-22,2018,11,22,1.50416666666667,96.5083333333333,5.68,51.21252,0.06,0.77724,"Late","DFG2019",2018-11-08,14,0.516724653739611,19.188261114347
2019-11-07,2019,11,7,7.55416666666667,138.054166666667,14.91,80.433,0.65,3.5064,"Early","DFG2020",2019-10-24,14,0.464167677881963,13.1975006764693
2019-11-27,2019,11,27,9.4875,77.4791666666667,11.76,29.14128,1.5,1.41768,"Late","DFG2020",2019-11-13,14,0.149426086956522,6.00715541649611
2020-11-05,2020,11,5,5.7375,178.595833333333,23.33,66.57588,0.09,6.92388,"Early","DFG2021",2020-10-22,14,1.20677647058824,6.57142672292241
2020-11-19,2020,11,19,8.49583333333333,129.391666666667,2.58,57.30264,1.63,1.9908,"Late","DFG2021",2020-11-05,14,0.234326630701324,7.41702724507755
2018-11-09,2018,11,9,10.0625,133.983333333333,6.52,65.29968,1.19,4.1076,"Early","DFG2019",2018-10-25,15,0.408208695652174,8.4127005308397
2018-11-23,2018,11,23,2.61666666666667,99.125,5.68,53.20332,0,1.9908,"Late","DFG2019",2018-11-08,15,0.760815286624203,19.9490764009712
2019-11-08,2019,11,8,6.42083333333333,144.475,17.89,83.85372,2.98,3.42072,"Early","DFG2020",2019-10-24,15,0.532753277092797,13.730253953562
2019-11-28,2019,11,28,9.72083333333333,87.2,16.97,30.18492,5.21,1.04364,"Late","DFG2020",2019-11-13,15,0.10736116588084,6.11451658237695
2020-11-06,2020,11,6,8.92083333333333,187.516666666667,23.33,72.2682,0,5.69232,"Early","DFG2021",2020-10-22,15,0.638092853806633,7.20951957672904
2020-11-20,2020,11,20,3.49166666666667,132.883333333333,2.67,59.886,0.09,2.58336,"Late","DFG2021",2020-11-05,15,0.739864439140811,8.15689168421836
2018-11-10,2018,11,10,11.2041666666667,145.1875,7,67.09824,0.48,1.79856,"Early","DFG2019",2018-10-25,16,0.160525994793603,8.5732265256333
2018-11-24,2018,11,24,0.879166666666667,100.004166666667,6.84,54.2358,1.16,1.03248,"Late","DFG2019",2018-11-08,16,1.17438483412322,21.1234612350944
2019-11-09,2019,11,9,5.85,150.325,19.51,88.19928,1.62,4.34556,"Early","DFG2020",2019-10-24,16,0.742830769230769,14.4730847227928
2019-11-29,2019,11,29,5.17083333333333,92.3708333333333,18.15,33.24852,1.18,3.0636,"Late","DFG2020",2019-11-13,16,0.592477034649477,6.70699361702643
2020-11-07,2020,11,7,7.62916666666667,195.145833333333,23.33,79.05096,0,6.78276,"Early","DFG2021",2020-10-22,16,0.889056471873293,8.09857604860234
2020-11-21,2020,11,21,4.80833333333333,137.691666666667,2.67,61.69284,0,1.80684,"Late","DFG2021",2020-11-05,16,0.375772616984402,8.53266430120276
2018-11-11,2018,11,11,12.6541666666667,157.841666666667,7.34,70.42932,0.34,3.33108,"Early","DFG2019",2018-10-25,17,0.26323977609483,8.83646630172813
2018-11-25,2018,11,25,3.24583333333333,103.25,10.88,54.89712,4.04,0.66132,"Late","DFG2019",2018-11-08,17,0.203744287548139,21.3272055226426
2019-11-10,2019,11,10,2.79166666666667,153.116666666667,19.63,94.73256,0.12,6.53328,"Early","DFG2020",2019-10-24,17,2.34027940298507,16.8133641257779
2019-11-30,2019,11,30,2.80416666666667,95.175,18.15,37.2204,0,3.97188,"Late","DFG2020",2019-11-13,17,1.41642080237741,8.12341441940384
2020-11-08,2020,11,8,7.80416666666667,202.95,23.36,85.09572,0.03,6.04476,"Early","DFG2021",2020-10-22,17,0.774555472504004,8.87313152110634
2020-11-22,2020,11,22,7.94166666666667,145.633333333333,2.82,63.13644,0.15,1.4436,"Late","DFG2021",2020-11-05,17,0.181775445960126,8.71443974716288
2018-11-12,2018,11,12,13.0375,170.879166666667,8.9,74.57184,1.56,4.14252,"Early","DFG2019",2018-10-25,18,0.31773883029722,9.15420513202535
2018-11-26,2018,11,26,3.03333333333333,106.283333333333,10.88,56.18556,0,1.28844,"Late","DFG2019",2018-11-08,18,0.42476043956044,21.751965962203
2019-11-11,2019,11,11,3.52083333333333,156.6375,19.72,98.9658,0.09,4.23324,"Early","DFG2020",2019-10-24,18,1.20234035502959,18.0157044808075
2019-12-01,2019,12,1,0,95.175,18.21,39.33504,0.06,2.11464,"Late","DFG2020",2019-11-13,18,0,8.12341441940384
2020-11-09,2020,11,9,4.89166666666667,207.841666666667,23.42,89.20476,0.06,4.10904,"Early","DFG2021",2020-10-22,18,0.840008177172061,9.7131396982784
2020-11-23,2020,11,23,5.20833333333333,150.841666666667,2.82,68.1372,0,5.00076,"Late","DFG2021",2020-11-05,18,0.96014592,9.67458566716289
2018-11-13,2018,11,13,10.3833333333333,181.2625,9.89,77.45508,0.99,2.88324,"Early","DFG2019",2018-10-25,19,0.277679614767256,9.4318847467926
2018-11-27,2018,11,27,0.158333333333333,106.441666666667,10.88,58.45212,0,2.26656,"Late","DFG2019",2018-11-08,19,14.3151157894737,36.0670817516767
2019-11-12,2019,11,12,5.09583333333333,161.733333333333,19.72,102.4776,0,3.5118,"Early","DFG2020",2019-10-24,19,0.689151267375307,18.7048557481828
2019-12-02,2019,12,2,3.09583333333333,98.2708333333333,19.21,42.13548,1,2.80044,"Late","DFG2020",2019-11-13,19,0.904583580080755,9.02799799948459
2020-11-10,2020,11,10,4.00833333333333,211.85,23.42,90.78372,0,1.57896,"Early","DFG2021",2020-10-22,19,0.393919334719335,10.1070590329977
2020-11-24,2020,11,24,5.09166666666667,155.933333333333,2.85,70.55748,0.03,2.42028,"Late","DFG2021",2020-11-05,19,0.475341407528641,10.1499270746915
2018-11-14,2018,11,14,8.53333333333333,189.795833333333,9.89,83.51064,0,6.05556,"Early","DFG2019",2018-10-25,20,0.7096359375,10.1415206842926
2018-11-28,2018,11,28,9.48676900924816e-18,106.441666666667,11.14,61.99596,0.26,3.54384,"Late","DFG2019",2018-11-08,20,0,36.0670817516767
2019-11-13,2019,11,13,4.50416666666667,166.2375,19.72,105.13692,0,2.65932,"Early","DFG2020",2019-10-24,20,0.590413320999074,19.2952690691819
2019-12-03,2019,12,3,4.825,103.095833333333,19.21,44.0352,0,1.89972,"Late","DFG2020",2019-11-13,20,0.393724352331606,9.4217223518162
2020-11-11,2020,11,11,7.57916666666667,219.429166666667,23.42,93.37716,0,2.59344,"Early","DFG2021",2020-10-22,20,0.34218009895547,10.4492391319532
2020-11-25,2020,11,25,4.65416666666667,160.5875,2.85,75.36492,0,4.80744,"Late","DFG2021",2020-11-05,20,1.03293249776186,11.1828595724534
2018-11-15,2018,11,15,4.99583333333333,194.791666666667,10.01,89.49672,0.12,5.98608,"Early","DFG2019",2018-10-25,21,1.19821451209341,11.339735196386
2018-11-29,2018,11,29,5.725,112.166666666667,11.47,62.97984,0.33,0.98388,"Late","DFG2019",2018-11-08,21,0.171856768558952,36.2389385202357
2019-11-14,2019,11,14,5.125,171.3625,19.72,111.015,0,5.87808,"Early","DFG2020",2019-10-24,21,1.14694243902439,20.4422115082062
2019-12-04,2019,12,4,1.92083333333333,105.016666666667,19.21,48.1374,0,4.1022,"Late","DFG2020",2019-11-13,21,2.13563557483731,11.5573579266535
2020-11-12,2020,11,12,8,227.429166666667,23.51,96.579,0.09,3.20184,"Early","DFG2021",2020-10-22,21,0.40023,10.8494691319532
2020-11-26,2020,11,26,6.29166666666667,166.879166666667,3.56,75.96288,0.71,0.59796,"Late","DFG2021",2020-11-05,21,0.0950399999999999,11.2778995724534
2018-11-16,2018,11,16,4.37916666666667,199.170833333333,10.04,95.24592,0.03,5.7492,"Early","DFG2019",2018-10-25,22,1.31285252140818,12.6525877177942
2018-11-30,2018,11,30,6.57083333333333,118.7375,11.47,64.50624,0,1.5264,"Late","DFG2019",2018-11-08,22,0.23229930247305,36.4712378227087
2019-11-15,2019,11,15,4.64583333333333,176.008333333333,19.72,112.15296,0,1.13796,"Early","DFG2020",2019-10-24,22,0.244942062780269,20.6871535709865
2019-12-05,2019,12,5,1.69166666666667,106.708333333333,19.21,52.79292,0,4.65552,"Late","DFG2020",2019-11-13,22,2.75203152709359,14.3093894537471
2020-11-13,2020,11,13,8.5875,236.016666666667,23.54,101.02212,0.03,4.44312,"Early","DFG2021",2020-10-22,22,0.517393886462882,11.3668630184161
2020-11-27,2020,11,27,5.83333333333333,172.7125,3.59,77.07852,0.03,1.11564,"Late","DFG2021",2020-11-05,22,0.191252571428572,11.469152143882
2018-11-17,2018,11,17,1.56666666666667,200.7375,10.07,100.03428,0.03,4.78836,"Early","DFG2019",2018-10-25,23,3.05639999999999,15.7089877177942
2018-12-01,2018,12,1,7.54166666666667,126.279166666667,11.53,68.4324,0.06,3.92616,"Late","DFG2019",2018-11-08,23,0.520595801104972,36.9918336238137
2019-11-16,2019,11,16,4.40416666666667,180.4125,24.74,114.72156,5.02,2.5686,"Early","DFG2020",2019-10-24,23,0.583220435193945,21.2703740061805
2019-12-06,2019,12,6,3.85833333333333,110.566666666667,20.13,53.49528,0.92,0.70236,"Late","DFG2020",2019-11-13,23,0.182037149028078,14.4914266027752
2020-11-14,2020,11,14,12.3875,248.404166666667,23.75,103.96296,0.21,2.94084,"Early","DFG2021",2020-10-22,23,0.237403834510595,11.6042668529267
2020-11-28,2020,11,28,3.76666666666667,176.479166666667,3.59,77.67756,0,0.59904,"Late","DFG2021",2020-11-05,23,0.159037168141593,11.6281893120236
2018-11-18,2018,11,18,0.370833333333333,201.108333333333,10.19,103.34196,0.12,3.30768,"Early","DFG2019",2018-10-25,24,8.91958651685394,24.6285742346481
2018-12-02,2018,12,2,10.0375,136.316666666667,17.1,69.03288,5.57,0.60048,"Late","DFG2019",2018-11-08,24,0.0598236612702366,37.0516572850839
2019-11-17,2019,11,17,2.84166666666667,183.254166666667,25.84,116.50176,1.1,1.7802,"Early","DFG2020",2019-10-24,24,0.626463343108504,21.896837349289
2019-12-07,2019,12,7,8.49583333333333,119.0625,20.81,55.24092,0.68,1.74564,"Late","DFG2020",2019-11-13,24,0.205470132417852,14.696896735193
2020-11-15,2020,11,15,13.4458333333333,261.85,24.01,108.45288,0.26,4.48992,"Early","DFG2021",2020-10-22,24,0.333926495196778,11.9381933481235
2020-11-29,2020,11,29,1.3875,177.866666666667,3.59,79.59312,0,1.91556,"Late","DFG2021",2020-11-05,24,1.38058378378378,13.0087730958073
2018-11-19,2018,11,19,4.2875,205.395833333333,10.44,105.20316,0.25,1.8612,"Early","DFG2019",2018-10-25,25,0.434099125364432,25.0626733600126
2018-12-03,2018,12,3,11.5625,147.879166666667,20.23,71.919,3.13,2.88612,"Late","DFG2019",2018-11-08,25,0.249610378378378,37.3012676634623
2019-11-18,2019,11,18,5.42083333333333,188.675,28.14,117.3762,2.3,0.87444,"Early","DFG2020",2019-10-24,25,0.161310991544966,22.0581483408339
2019-12-08,2019,12,8,8.95,128.0125,21.04,55.80252,0.23,0.5616,"Late","DFG2020",2019-11-13,25,0.0627486033519553,14.759645338545
2020-11-16,2020,11,16,10.3833333333333,272.233333333333,24.01,111.10428,0,2.6514,"Early","DFG2021",2020-10-22,25,0.255351524879616,12.1935448730031
2020-11-30,2020,11,30,1.975,179.841666666667,6.99,82.61316,3.4,3.02004,"Late","DFG2021",2020-11-05,25,1.52913417721519,14.5379072730225
2018-11-20,2018,11,20,2.15416666666667,207.55,10.89,105.95268,0.45,0.74952,"Early","DFG2019",2018-10-25,26,0.347939651837524,25.4106130118501
2018-12-04,2018,12,4,5.19583333333333,153.075,21.74,75.77316,1.51,3.85416,"Late","DFG2019",2018-11-08,26,0.74177898957498,38.0430466530373
2019-11-19,2019,11,19,5.0875,193.7625,29.34,119.25396,1.2,1.87776,"Early","DFG2020",2019-10-24,26,0.369092874692875,22.4272412155268
2019-12-09,2019,12,9,6.42083333333333,134.433333333333,22.13,57.54564,1.09,1.74312,"Late","DFG2020",2019-11-13,26,0.271478780012979,15.031124118558
2020-11-17,2020,11,17,10.5041666666667,282.7375,24.19,111.88728,0.18,0.783,"Early","DFG2021",2020-10-22,26,0.074541848472828,12.2680867214759
2020-12-01,2020,12,1,3.06666666666667,182.908333333333,8.78,83.64708,1.79,1.03392,"Late","DFG2021",2020-11-05,26,0.337147826086956,14.8750550991095
2018-11-21,2018,11,21,1.65,209.2,10.89,107.30772,0,1.35504,"Early","DFG2019",2018-10-25,27,0.821236363636364,26.2318493754865
2018-12-05,2018,12,5,2.97083333333333,156.045833333333,23.78,79.31124,2.04,3.53808,"Late","DFG2019",2018-11-08,27,1.19093856942497,39.2339852224623
2019-11-20,2019,11,20,3.65,197.4125,29.4,120.90312,0.06,1.64916,"Early","DFG2020",2019-10-24,27,0.451824657534247,22.8790658730611
2019-12-10,2019,12,10,3.77916666666667,138.2125,22.13,61.12296,0,3.57732,"Late","DFG2020",2019-11-13,27,0.946589636163174,15.9777137547211
2020-11-18,2020,11,18,11.0166666666667,293.754166666667,24.19,114.96384,0,3.07656,"Early","DFG2021",2020-10-22,27,0.279264145234492,12.5473508667104
2020-12-02,2020,12,2,2.72916666666667,185.6375,8.78,84.43224,0,0.78516,"Late","DFG2021",2020-11-05,27,0.287692213740458,15.1627473128499
2018-11-22,2018,11,22,1.50416666666667,210.704166666667,10.95,108.08496,0.06,0.77724,"Early","DFG2019",2018-10-25,28,0.516724653739611,26.7485740292261
2018-12-06,2018,12,6,8.1,164.145833333333,24.56,80.2818,0.78,0.97056,"Late","DFG2019",2018-11-08,28,0.119822222222222,39.3538074446845
2019-11-21,2019,11,21,4.6375,202.05,29.86,121.62132,0.46,0.7182,"Early","DFG2020",2019-10-24,28,0.154867924528302,23.0339337975894
2019-12-11,2019,12,11,3.26666666666667,141.479166666667,28.81,61.64892,6.68,0.52596,"Late","DFG2020",2019-11-13,28,0.161008163265306,16.1387219179864
2020-11-19,2020,11,19,8.49583333333333,302.25,25.82,116.95464,1.63,1.9908,"Early","DFG2021",2020-10-22,28,0.234326630701324,12.7816774974117
