"Year","Climate","value","B","timeid","var","appl","nitrogen","rep"
"2019","Acc_TQ",8.5732265256333,"sowing
09","Early","Capone","Combined",220,2
"2019","Acc_Temperature",145.1875,"sowing
09","Early","Capone","Combined",176,2
"2019","Acc_Percipitation",7,"sowing
09","Early","Capone","Combined",176,2
"2019","Acc_Radiation",67.09824,"sowing
09","Early","Capone","Combined",176,2
"2019","Das",16,"sowing
09","Early","Capone","Combined",176,2
"2019","Acc_TQ",8.5732265256333,"sowing
09","Early","Capone","Combined",176,2
"2019","Acc_Temperature",157.841666666667,"sowing
09","Early","Pionier","Combined",220,1
"2019","Acc_Percipitation",7.34,"sowing
09","Early","Pionier","Combined",220,1
"2019","Acc_Radiation",70.42932,"sowing
09","Early","Pionier","Combined",220,1
"2019","Das",17,"sowing
09","Early","Pionier","Combined",220,1
"2019","Acc_TQ",8.83646630172813,"sowing
09","Early","Pionier","Combined",220,1
"2019","Acc_Temperature",157.841666666667,"sowing
09","Early","Capone","Split",176,2
"2019","Acc_Percipitation",7.34,"sowing
09","Early","Capone","Split",176,2
"2019","Acc_Radiation",70.42932,"sowing
09","Early","Capone","Split",176,2
"2019","Das",17,"sowing
09","Early","Capone","Split",176,2
"2019","Acc_TQ",8.83646630172813,"sowing
09","Early","Capone","Split",176,2
"2019","Acc_Temperature",157.841666666667,"sowing
09","Early","Pionier","Split",176,2
"2019","Acc_Percipitation",7.34,"sowing
09","Early","Pionier","Split",176,2
"2019","Acc_Radiation",70.42932,"sowing
09","Early","Pionier","Split",176,2
"2019","Das",17,"sowing
09","Early","Pionier","Split",176,2
"2019","Acc_TQ",8.83646630172813,"sowing
09","Early","Pionier","Split",176,2
"2019","Acc_Temperature",157.841666666667,"sowing
09","Early","Apertus","Combined",176,1
"2019","Acc_Percipitation",7.34,"sowing
09","Early","Apertus","Combined",176,1
"2019","Acc_Radiation",70.42932,"sowing
09","Early","Apertus","Combined",176,1
"2019","Das",17,"sowing
09","Early","Apertus","Combined",176,1
"2019","Acc_TQ",8.83646630172813,"sowing
09","Early","Apertus","Combined",176,1
"2019","Acc_Temperature",157.841666666667,"sowing
09","Early","Pionier","Split",220,1
"2019","Acc_Percipitation",7.34,"sowing
09","Early","Pionier","Split",220,1
"2019","Acc_Radiation",70.42932,"sowing
09","Early","Pionier","Split",220,1
"2019","Das",17,"sowing
09","Early","Pionier","Split",220,1
"2019","Acc_TQ",8.83646630172813,"sowing
09","Early","Pionier","Split",220,1
"2019","Acc_Temperature",157.841666666667,"sowing
09","Early","Capone","Split",220,2
"2019","Acc_Percipitation",7.34,"sowing
09","Early","Capone","Split",220,2
"2019","Acc_Radiation",70.42932,"sowing
09","Early","Capone","Split",220,2
"2019","Das",17,"sowing
09","Early","Capone","Split",220,2
"2019","Acc_TQ",8.83646630172813,"sowing
09","Early","Capone","Split",220,2
"2019","Acc_Temperature",157.841666666667,"sowing
09","Early","Apertus","Combined",220,2
"2019","Acc_Percipitation",7.34,"sowing
09","Early","Apertus","Combined",220,2
"2019","Acc_Radiation",70.42932,"sowing
09","Early","Apertus","Combined",220,2
"2019","Das",17,"sowing
09","Early","Apertus","Combined",220,2
"2019","Acc_TQ",8.83646630172813,"sowing
09","Early","Apertus","Combined",220,2
"2019","Acc_Temperature",157.841666666667,"sowing
09","Early","Pionier","Combined",220,3
"2019","Acc_Percipitation",7.34,"sowing
09","Early","Pionier","Combined",220,3
"2019","Acc_Radiation",70.42932,"sowing
09","Early","Pionier","Combined",220,3
"2019","Das",17,"sowing
09","Early","Pionier","Combined",220,3
"2019","Acc_TQ",8.83646630172813,"sowing
09","Early","Pionier","Combined",220,3
"2019","Acc_Temperature",157.841666666667,"sowing
09","Early","Apertus","Split",176,2
"2019","Acc_Percipitation",7.34,"sowing
09","Early","Apertus","Split",176,2
"2019","Acc_Radiation",70.42932,"sowing
09","Early","Apertus","Split",176,2
"2019","Das",17,"sowing
09","Early","Apertus","Split",176,2
"2019","Acc_TQ",8.83646630172813,"sowing
09","Early","Apertus","Split",176,2
"2019","Acc_Temperature",157.841666666667,"sowing
09","Early","Pionier","Combined",176,3
"2019","Acc_Percipitation",7.34,"sowing
09","Early","Pionier","Combined",176,3
"2019","Acc_Radiation",70.42932,"sowing
09","Early","Pionier","Combined",176,3
"2019","Das",17,"sowing
09","Early","Pionier","Combined",176,3
"2019","Acc_TQ",8.83646630172813,"sowing
09","Early","Pionier","Combined",176,3
"2019","Acc_Temperature",157.841666666667,"sowing
09","Early","Apertus","Split",220,1
"2019","Acc_Percipitation",7.34,"sowing
09","Early","Apertus","Split",220,1
"2019","Acc_Radiation",70.42932,"sowing
09","Early","Apertus","Split",220,1
"2019","Das",17,"sowing
09","Early","Apertus","Split",220,1
"2019","Acc_TQ",8.83646630172813,"sowing
09","Early","Apertus","Split",220,1
"2019","Acc_Temperature",157.841666666667,"sowing
09","Early","Pionier","Split",176,3
"2019","Acc_Percipitation",7.34,"sowing
09","Early","Pionier","Split",176,3
"2019","Acc_Radiation",70.42932,"sowing
09","Early","Pionier","Split",176,3
"2019","Das",17,"sowing
09","Early","Pionier","Split",176,3
"2019","Acc_TQ",8.83646630172813,"sowing
09","Early","Pionier","Split",176,3
"2019","Acc_Temperature",157.841666666667,"sowing
09","Early","Apertus","Split",220,2
"2019","Acc_Percipitation",7.34,"sowing
09","Early","Apertus","Split",220,2
"2019","Acc_Radiation",70.42932,"sowing
09","Early","Apertus","Split",220,2
"2019","Das",17,"sowing
09","Early","Apertus","Split",220,2
"2019","Acc_TQ",8.83646630172813,"sowing
09","Early","Apertus","Split",220,2
"2019","Acc_Temperature",157.841666666667,"sowing
09","Early","Apertus","Combined",220,1
"2019","Acc_Percipitation",7.34,"sowing
09","Early","Apertus","Combined",220,1
"2019","Acc_Radiation",70.42932,"sowing
09","Early","Apertus","Combined",220,1
"2019","Das",17,"sowing
09","Early","Apertus","Combined",220,1
"2019","Acc_TQ",8.83646630172813,"sowing
09","Early","Apertus","Combined",220,1
"2019","Acc_Temperature",157.841666666667,"sowing
09","Early","Apertus","Split",176,3
"2019","Acc_Percipitation",7.34,"sowing
09","Early","Apertus","Split",176,3
"2019","Acc_Radiation",70.42932,"sowing
09","Early","Apertus","Split",176,3
"2019","Das",17,"sowing
09","Early","Apertus","Split",176,3
"2019","Acc_TQ",8.83646630172813,"sowing
09","Early","Apertus","Split",176,3
"2019","Acc_Temperature",157.841666666667,"sowing
09","Early","Pionier","Combined",176,1
"2019","Acc_Percipitation",7.34,"sowing
09","Early","Pionier","Combined",176,1
"2019","Acc_Radiation",70.42932,"sowing
09","Early","Pionier","Combined",176,1
"2019","Das",17,"sowing
09","Early","Pionier","Combined",176,1
"2019","Acc_TQ",8.83646630172813,"sowing
09","Early","Pionier","Combined",176,1
"2019","Acc_Temperature",157.841666666667,"sowing
09","Early","Apertus","Split",176,1
"2019","Acc_Percipitation",7.34,"sowing
09","Early","Apertus","Split",176,1
"2019","Acc_Radiation",70.42932,"sowing
09","Early","Apertus","Split",176,1
"2019","Das",17,"sowing
09","Early","Apertus","Split",176,1
"2019","Acc_TQ",8.83646630172813,"sowing
09","Early","Apertus","Split",176,1
"2019","Acc_Temperature",157.841666666667,"sowing
09","Early","Apertus","Combined",176,2
"2019","Acc_Percipitation",7.34,"sowing
09","Early","Apertus","Combined",176,2
"2019","Acc_Radiation",70.42932,"sowing
09","Early","Apertus","Combined",176,2
"2019","Das",17,"sowing
09","Early","Apertus","Combined",176,2
"2019","Acc_TQ",8.83646630172813,"sowing
09","Early","Apertus","Combined",176,2
"2019","Acc_Temperature",157.841666666667,"sowing
09","Early","Apertus","Combined",176,3
"2019","Acc_Percipitation",7.34,"sowing
09","Early","Apertus","Combined",176,3
"2019","Acc_Radiation",70.42932,"sowing
09","Early","Apertus","Combined",176,3
"2019","Das",17,"sowing
09","Early","Apertus","Combined",176,3
"2019","Acc_TQ",8.83646630172813,"sowing
09","Early","Apertus","Combined",176,3
"2019","Acc_Temperature",157.841666666667,"sowing
09","Early","Pionier","Split",220,3
"2019","Acc_Percipitation",7.34,"sowing
09","Early","Pionier","Split",220,3
"2019","Acc_Radiation",70.42932,"sowing
09","Early","Pionier","Split",220,3
"2019","Das",17,"sowing
09","Early","Pionier","Split",220,3
"2019","Acc_TQ",8.83646630172813,"sowing
09","Early","Pionier","Split",220,3
"2019","Acc_Temperature",157.841666666667,"sowing
09","Early","Pionier","Split",176,1
"2019","Acc_Percipitation",7.34,"sowing
09","Early","Pionier","Split",176,1
"2019","Acc_Radiation",70.42932,"sowing
09","Early","Pionier","Split",176,1
"2019","Das",17,"sowing
09","Early","Pionier","Split",176,1
"2019","Acc_TQ",8.83646630172813,"sowing
09","Early","Pionier","Split",176,1
"2019","Acc_Temperature",157.841666666667,"sowing
09","Early","Capone","Combined",176,3
"2019","Acc_Percipitation",7.34,"sowing
09","Early","Capone","Combined",176,3
"2019","Acc_Radiation",70.42932,"sowing
09","Early","Capone","Combined",176,3
"2019","Das",17,"sowing
09","Early","Capone","Combined",176,3
"2019","Acc_TQ",8.83646630172813,"sowing
09","Early","Capone","Combined",176,3
"2019","Acc_Temperature",157.841666666667,"sowing
09","Early","Apertus","Split",220,3
"2019","Acc_Percipitation",7.34,"sowing
09","Early","Apertus","Split",220,3
"2019","Acc_Radiation",70.42932,"sowing
09","Early","Apertus","Split",220,3
"2019","Das",17,"sowing
09","Early","Apertus","Split",220,3
"2019","Acc_TQ",8.83646630172813,"sowing
09","Early","Apertus","Split",220,3
"2019","Acc_Temperature",157.841666666667,"sowing
09","Early","Pionier","Combined",176,2
"2019","Acc_Percipitation",7.34,"sowing
09","Early","Pionier","Combined",176,2
"2019","Acc_Radiation",70.42932,"sowing
09","Early","Pionier","Combined",176,2
"2019","Das",17,"sowing
09","Early","Pionier","Combined",176,2
"2019","Acc_TQ",8.83646630172813,"sowing
09","Early","Pionier","Combined",176,2
"2019","Acc_Temperature",170.879166666667,"sowing
09","Early","Patras","Split",220,3
"2019","Acc_Percipitation",8.9,"sowing
09","Early","Patras","Split",220,3
"2019","Acc_Radiation",74.57184,"sowing
09","Early","Patras","Split",220,3
"2019","Das",18,"sowing
09","Early","Patras","Split",220,3
"2019","Acc_TQ",9.15420513202535,"sowing
09","Early","Patras","Split",220,3
"2019","Acc_Temperature",170.879166666667,"sowing
09","Early","Patras","Combined",220,2
"2019","Acc_Percipitation",8.9,"sowing
09","Early","Patras","Combined",220,2
"2019","Acc_Radiation",74.57184,"sowing
09","Early","Patras","Combined",220,2
"2019","Das",18,"sowing
09","Early","Patras","Combined",220,2
"2019","Acc_TQ",9.15420513202535,"sowing
09","Early","Patras","Combined",220,2
"2019","Acc_Temperature",170.879166666667,"sowing
09","Early","Patras","Split",176,2
"2019","Acc_Percipitation",8.9,"sowing
09","Early","Patras","Split",176,2
"2019","Acc_Radiation",74.57184,"sowing
09","Early","Patras","Split",176,2
"2019","Das",18,"sowing
09","Early","Patras","Split",176,2
"2019","Acc_TQ",9.15420513202535,"sowing
09","Early","Patras","Split",176,2
"2019","Acc_Temperature",170.879166666667,"sowing
09","Early","Patras","Split",220,1
"2019","Acc_Percipitation",8.9,"sowing
09","Early","Patras","Split",220,1
"2019","Acc_Radiation",74.57184,"sowing
09","Early","Patras","Split",220,1
"2019","Das",18,"sowing
09","Early","Patras","Split",220,1
"2019","Acc_TQ",9.15420513202535,"sowing
09","Early","Patras","Split",220,1
"2019","Acc_Temperature",170.879166666667,"sowing
09","Early","Patras","Combined",220,1
"2019","Acc_Percipitation",8.9,"sowing
09","Early","Patras","Combined",220,1
"2019","Acc_Radiation",74.57184,"sowing
09","Early","Patras","Combined",220,1
"2019","Das",18,"sowing
09","Early","Patras","Combined",220,1
"2019","Acc_TQ",9.15420513202535,"sowing
09","Early","Patras","Combined",220,1
"2019","Acc_Temperature",170.879166666667,"sowing
09","Early","Patras","Combined",220,3
"2019","Acc_Percipitation",8.9,"sowing
09","Early","Patras","Combined",220,3
"2019","Acc_Radiation",74.57184,"sowing
09","Early","Patras","Combined",220,3
"2019","Das",18,"sowing
09","Early","Patras","Combined",220,3
"2019","Acc_TQ",9.15420513202535,"sowing
09","Early","Patras","Combined",220,3
"2019","Acc_Temperature",170.879166666667,"sowing
09","Early","Patras","Combined",176,1
"2019","Acc_Percipitation",8.9,"sowing
09","Early","Patras","Combined",176,1
"2019","Acc_Radiation",74.57184,"sowing
09","Early","Patras","Combined",176,1
"2019","Das",18,"sowing
09","Early","Patras","Combined",176,1
"2019","Acc_TQ",9.15420513202535,"sowing
09","Early","Patras","Combined",176,1
"2019","Acc_Temperature",170.879166666667,"sowing
09","Early","Patras","Split",176,3
"2019","Acc_Percipitation",8.9,"sowing
09","Early","Patras","Split",176,3
"2019","Acc_Radiation",74.57184,"sowing
09","Early","Patras","Split",176,3
"2019","Das",18,"sowing
09","Early","Patras","Split",176,3
"2019","Acc_TQ",9.15420513202535,"sowing
09","Early","Patras","Split",176,3
"2019","Acc_Temperature",170.879166666667,"sowing
09","Early","Patras","Combined",176,3
"2019","Acc_Percipitation",8.9,"sowing
09","Early","Patras","Combined",176,3
"2019","Acc_Radiation",74.57184,"sowing
09","Early","Patras","Combined",176,3
"2019","Das",18,"sowing
09","Early","Patras","Combined",176,3
"2019","Acc_TQ",9.15420513202535,"sowing
09","Early","Patras","Combined",176,3
"2019","Acc_Temperature",170.879166666667,"sowing
09","Early","Patras","Combined",176,2
"2019","Acc_Percipitation",8.9,"sowing
09","Early","Patras","Combined",176,2
"2019","Acc_Radiation",74.57184,"sowing
09","Early","Patras","Combined",176,2
"2019","Das",18,"sowing
09","Early","Patras","Combined",176,2
"2019","Acc_TQ",9.15420513202535,"sowing
09","Early","Patras","Combined",176,2
"2019","Acc_Temperature",170.879166666667,"sowing
09","Early","Pionier","Split",220,2
"2019","Acc_Percipitation",8.9,"sowing
09","Early","Pionier","Split",220,2
"2019","Acc_Radiation",74.57184,"sowing
09","Early","Pionier","Split",220,2
"2019","Das",18,"sowing
09","Early","Pionier","Split",220,2
"2019","Acc_TQ",9.15420513202535,"sowing
09","Early","Pionier","Split",220,2
"2019","Acc_Temperature",170.879166666667,"sowing
09","Early","Patras","Split",220,2
"2019","Acc_Percipitation",8.9,"sowing
09","Early","Patras","Split",220,2
"2019","Acc_Radiation",74.57184,"sowing
09","Early","Patras","Split",220,2
"2019","Das",18,"sowing
09","Early","Patras","Split",220,2
"2019","Acc_TQ",9.15420513202535,"sowing
09","Early","Patras","Split",220,2
"2019","Acc_Temperature",170.879166666667,"sowing
09","Early","Patras","Split",176,1
"2019","Acc_Percipitation",8.9,"sowing
09","Early","Patras","Split",176,1
"2019","Acc_Radiation",74.57184,"sowing
09","Early","Patras","Split",176,1
"2019","Das",18,"sowing
09","Early","Patras","Split",176,1
"2019","Acc_TQ",9.15420513202535,"sowing
09","Early","Patras","Split",176,1
"2019","Acc_Temperature",170.879166666667,"sowing
09","Early","Pionier","Combined",220,2
"2019","Acc_Percipitation",8.9,"sowing
09","Early","Pionier","Combined",220,2
"2019","Acc_Radiation",74.57184,"sowing
09","Early","Pionier","Combined",220,2
"2019","Das",18,"sowing
09","Early","Pionier","Combined",220,2
"2019","Acc_TQ",9.15420513202535,"sowing
09","Early","Pionier","Combined",220,2
"2019","Acc_Temperature",136.316666666667,"sowing
09","Late","Capone","Split",176,2
"2019","Acc_Percipitation",17.1,"sowing
09","Late","Capone","Split",176,2
"2019","Acc_Radiation",69.03288,"sowing
09","Late","Capone","Split",176,2
"2019","Das",24,"sowing
09","Late","Capone","Split",176,2
"2019","Acc_TQ",373556054389570816,"sowing
09","Late","Capone","Split",176,2
"2019","Acc_Temperature",136.316666666667,"sowing
09","Late","Capone","Combined",220,3
"2019","Acc_Percipitation",17.1,"sowing
09","Late","Capone","Combined",220,3
"2019","Acc_Radiation",69.03288,"sowing
09","Late","Capone","Combined",220,3
"2019","Das",24,"sowing
09","Late","Capone","Combined",220,3
"2019","Acc_TQ",373556054389570816,"sowing
09","Late","Capone","Combined",220,3
"2019","Acc_Temperature",136.316666666667,"sowing
09","Late","Capone","Combined",220,1
"2019","Acc_Percipitation",17.1,"sowing
09","Late","Capone","Combined",220,1
"2019","Acc_Radiation",69.03288,"sowing
09","Late","Capone","Combined",220,1
"2019","Das",24,"sowing
09","Late","Capone","Combined",220,1
"2019","Acc_TQ",373556054389570816,"sowing
09","Late","Capone","Combined",220,1
"2019","Acc_Temperature",136.316666666667,"sowing
09","Late","Apertus","Split",220,3
"2019","Acc_Percipitation",17.1,"sowing
09","Late","Apertus","Split",220,3
"2019","Acc_Radiation",69.03288,"sowing
09","Late","Apertus","Split",220,3
"2019","Das",24,"sowing
09","Late","Apertus","Split",220,3
"2019","Acc_TQ",373556054389570816,"sowing
09","Late","Apertus","Split",220,3
"2019","Acc_Temperature",136.316666666667,"sowing
09","Late","Capone","Combined",176,3
"2019","Acc_Percipitation",17.1,"sowing
09","Late","Capone","Combined",176,3
"2019","Acc_Radiation",69.03288,"sowing
09","Late","Capone","Combined",176,3
"2019","Das",24,"sowing
09","Late","Capone","Combined",176,3
"2019","Acc_TQ",373556054389570816,"sowing
09","Late","Capone","Combined",176,3
"2019","Acc_Temperature",136.316666666667,"sowing
09","Late","Capone","Split",176,1
"2019","Acc_Percipitation",17.1,"sowing
09","Late","Capone","Split",176,1
"2019","Acc_Radiation",69.03288,"sowing
09","Late","Capone","Split",176,1
"2019","Das",24,"sowing
09","Late","Capone","Split",176,1
"2019","Acc_TQ",373556054389570816,"sowing
09","Late","Capone","Split",176,1
"2019","Acc_Temperature",147.879166666667,"sowing
09","Late","Capone","Split",220,2
"2019","Acc_Percipitation",20.23,"sowing
09","Late","Capone","Split",220,2
"2019","Acc_Radiation",71.919,"sowing
09","Late","Capone","Split",220,2
"2019","Das",25,"sowing
09","Late","Capone","Split",220,2
"2019","Acc_TQ",373556054389570816,"sowing
09","Late","Capone","Split",220,2
"2019","Acc_Temperature",147.879166666667,"sowing
09","Late","Apertus","Combined",220,3
"2019","Acc_Percipitation",20.23,"sowing
09","Late","Apertus","Combined",220,3
"2019","Acc_Radiation",71.919,"sowing
09","Late","Apertus","Combined",220,3
"2019","Das",25,"sowing
09","Late","Apertus","Combined",220,3
"2019","Acc_TQ",373556054389570816,"sowing
09","Late","Apertus","Combined",220,3
"2019","Acc_Temperature",147.879166666667,"sowing
09","Late","Capone","Split",176,3
"2019","Acc_Percipitation",20.23,"sowing
09","Late","Capone","Split",176,3
"2019","Acc_Radiation",71.919,"sowing
09","Late","Capone","Split",176,3
"2019","Das",25,"sowing
09","Late","Capone","Split",176,3
"2019","Acc_TQ",373556054389570816,"sowing
09","Late","Capone","Split",176,3
"2019","Acc_Temperature",147.879166666667,"sowing
09","Late","Capone","Combined",220,2
"2019","Acc_Percipitation",20.23,"sowing
09","Late","Capone","Combined",220,2
"2019","Acc_Radiation",71.919,"sowing
09","Late","Capone","Combined",220,2
"2019","Das",25,"sowing
09","Late","Capone","Combined",220,2
"2019","Acc_TQ",373556054389570816,"sowing
09","Late","Capone","Combined",220,2
"2019","Acc_Temperature",147.879166666667,"sowing
09","Late","Apertus","Combined",176,3
"2019","Acc_Percipitation",20.23,"sowing
09","Late","Apertus","Combined",176,3
"2019","Acc_Radiation",71.919,"sowing
09","Late","Apertus","Combined",176,3
"2019","Das",25,"sowing
09","Late","Apertus","Combined",176,3
"2019","Acc_TQ",373556054389570816,"sowing
09","Late","Apertus","Combined",176,3
"2019","Acc_Temperature",147.879166666667,"sowing
09","Late","Capone","Combined",176,1
"2019","Acc_Percipitation",20.23,"sowing
09","Late","Capone","Combined",176,1
"2019","Acc_Radiation",71.919,"sowing
09","Late","Capone","Combined",176,1
"2019","Das",25,"sowing
09","Late","Capone","Combined",176,1
"2019","Acc_TQ",373556054389570816,"sowing
09","Late","Capone","Combined",176,1
"2019","Acc_Temperature",147.879166666667,"sowing
09","Late","Capone","Combined",176,2
"2019","Acc_Percipitation",20.23,"sowing
09","Late","Capone","Combined",176,2
"2019","Acc_Radiation",71.919,"sowing
09","Late","Capone","Combined",176,2
"2019","Das",25,"sowing
09","Late","Capone","Combined",176,2
"2019","Acc_TQ",373556054389570816,"sowing
09","Late","Capone","Combined",176,2
"2019","Acc_Temperature",147.879166666667,"sowing
09","Late","Apertus","Combined",176,2
"2019","Acc_Percipitation",20.23,"sowing
09","Late","Apertus","Combined",176,2
"2019","Acc_Radiation",71.919,"sowing
09","Late","Apertus","Combined",176,2
"2019","Das",25,"sowing
09","Late","Apertus","Combined",176,2
"2019","Acc_TQ",373556054389570816,"sowing
09","Late","Apertus","Combined",176,2
"2019","Acc_Temperature",147.879166666667,"sowing
09","Late","Capone","Split",220,3
"2019","Acc_Percipitation",20.23,"sowing
09","Late","Capone","Split",220,3
"2019","Acc_Radiation",71.919,"sowing
09","Late","Capone","Split",220,3
"2019","Das",25,"sowing
09","Late","Capone","Split",220,3
"2019","Acc_TQ",373556054389570816,"sowing
09","Late","Capone","Split",220,3
"2019","Acc_Temperature",147.879166666667,"sowing
09","Late","Apertus","Split",176,2
"2019","Acc_Percipitation",20.23,"sowing
09","Late","Apertus","Split",176,2
"2019","Acc_Radiation",71.919,"sowing
09","Late","Apertus","Split",176,2
"2019","Das",25,"sowing
09","Late","Apertus","Split",176,2
"2019","Acc_TQ",373556054389570816,"sowing
09","Late","Apertus","Split",176,2
"2019","Acc_Temperature",147.879166666667,"sowing
09","Late","Apertus","Split",176,1
"2019","Acc_Percipitation",20.23,"sowing
09","Late","Apertus","Split",176,1
"2019","Acc_Radiation",71.919,"sowing
09","Late","Apertus","Split",176,1
"2019","Das",25,"sowing
09","Late","Apertus","Split",176,1
"2019","Acc_TQ",373556054389570816,"sowing
09","Late","Apertus","Split",176,1
"2019","Acc_Temperature",147.879166666667,"sowing
09","Late","Apertus","Combined",220,2
"2019","Acc_Percipitation",20.23,"sowing
09","Late","Apertus","Combined",220,2
"2019","Acc_Radiation",71.919,"sowing
09","Late","Apertus","Combined",220,2
"2019","Das",25,"sowing
09","Late","Apertus","Combined",220,2
"2019","Acc_TQ",373556054389570816,"sowing
09","Late","Apertus","Combined",220,2
"2019","Acc_Temperature",147.879166666667,"sowing
09","Late","Capone","Split",220,1
"2019","Acc_Percipitation",20.23,"sowing
09","Late","Capone","Split",220,1
"2019","Acc_Radiation",71.919,"sowing
09","Late","Capone","Split",220,1
"2019","Das",25,"sowing
09","Late","Capone","Split",220,1
"2019","Acc_TQ",373556054389570816,"sowing
09","Late","Capone","Split",220,1
"2019","Acc_Temperature",153.075,"sowing
09","Late","Pionier","Combined",176,3
"2019","Acc_Percipitation",21.74,"sowing
09","Late","Pionier","Combined",176,3
"2019","Acc_Radiation",75.77316,"sowing
09","Late","Pionier","Combined",176,3
"2019","Das",26,"sowing
09","Late","Pionier","Combined",176,3
"2019","Acc_TQ",373556054389570816,"sowing
09","Late","Pionier","Combined",176,3
"2019","Acc_Temperature",153.075,"sowing
09","Late","Pionier","Split",176,3
"2019","Acc_Percipitation",21.74,"sowing
09","Late","Pionier","Split",176,3
"2019","Acc_Radiation",75.77316,"sowing
09","Late","Pionier","Split",176,3
"2019","Das",26,"sowing
09","Late","Pionier","Split",176,3
"2019","Acc_TQ",373556054389570816,"sowing
09","Late","Pionier","Split",176,3
"2019","Acc_Temperature",153.075,"sowing
09","Late","Pionier","Split",220,1
"2019","Acc_Percipitation",21.74,"sowing
09","Late","Pionier","Split",220,1
"2019","Acc_Radiation",75.77316,"sowing
09","Late","Pionier","Split",220,1
"2019","Das",26,"sowing
09","Late","Pionier","Split",220,1
"2019","Acc_TQ",373556054389570816,"sowing
09","Late","Pionier","Split",220,1
"2019","Acc_Temperature",153.075,"sowing
09","Late","Apertus","Combined",176,1
"2019","Acc_Percipitation",21.74,"sowing
09","Late","Apertus","Combined",176,1
"2019","Acc_Radiation",75.77316,"sowing
09","Late","Apertus","Combined",176,1
"2019","Das",26,"sowing
09","Late","Apertus","Combined",176,1
"2019","Acc_TQ",373556054389570816,"sowing
09","Late","Apertus","Combined",176,1
"2019","Acc_Temperature",153.075,"sowing
09","Late","Apertus","Split",220,2
"2019","Acc_Percipitation",21.74,"sowing
09","Late","Apertus","Split",220,2
"2019","Acc_Radiation",75.77316,"sowing
09","Late","Apertus","Split",220,2
"2019","Das",26,"sowing
09","Late","Apertus","Split",220,2
